nom,description,logo,Date dernier financement,Série,Montant,LinkedIn,Contact,Date de création_x,Marché,Type d'organisme,SIREN,Activité principale,Tranche effectifs,market,employees,date de création,valeur_entreprise,financement,dernier_financement,mots_cles_def,site_web_def,adresse_def
STORYFOX,"Created in 2020, Stoyfox is the startup that will shake video in companies. Thanks to two technological bricks, Storyfox provides an innovative solution to create authentic and impactful video interview, quickly, remotely, without any limit, with a cost control, for all communication.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/d38e1019-efb2-4e08-a764-268c4baf069d1,,,,,,,,,810472431,63.12Z,03,,,,,,,,['http://storyfox.io/'],FRANCE
STORIO ENERGY,"Storio Energy develops and operates energy storage solutions (batteries) for commercial & industrial businesses in France, around 2 use cases: - Solar PV + Storage: The battery boosts self consumption and generate other on-site savings through load shifting (charging during off-peak hours). - EV Chargers + Storage: The battery can defer the need for expensive grid connection upgrades, and reduce the energy procurement costs. Storio's core innovation is to operate these batteries in real-time through its software platform, leveraging their residual flexibility to provide balancing and ancillary services to the electrical grid, thereby generating additional revenues. Storio offers a turnkey solution, working with its clients from initial feasibility studies, to purchasing and installing the batteries, and operating them seamlessly using our software platform during the 15+ years of operations. We also offer financing solutions. Let's get in touch!",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/6cc1adae-6adc-4bc2-a354-cf052d44bdb01,,,,,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://storioenergy.com/'],AULNAY-SOUS-BOIS
STELLAR,"Stellar is a revolutionary SaaS software for cybersecurity GRC management that was created in 2023. Thanks to its data centralization and automation, Stellar provides a clear view of the state of GRC. It simplifies compliance by enabling mapping between repositories, and facilitates audits by offering fluid navigation between requirements, controls and evidence. By eliminating the need for multiple tools, Stellar enables effective management of cybersecurity within a single, centralized platform.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/c6832e13-2545-41fa-bebb-d7409efd86231,,,,,,,,,920874542,47.19B,Non disponible,,,,,,,,['https://www.stellarsaas.com/'],BERNAY
STEERLIGHT,"Founded in 2022 as a spin-off from CEA-Leti and based in Grenoble, the deeptech startup SteerLight develops a new generation of laser-based sensors called LiDARs (Light Detection and Ranging) that provide 3D vision with unparalleled precision and resolution. Such optical sensors that are key for safe mobility and in particular for automated and autonomous robots, machines and vehicles to detect obstacles. Employing the groundbreaking silicon photonics technology, the SteerLight solution combines FMCW approach and non-mechanical beam steering that put the system on a microchip. The disruptive sensor enables high reliability, compactness, scalable price and high resolution/range performance – features that are ‘must have’ features for a mass adoption. It will contribute to making many devices smarter and safer for wide applications beyond cars and robotics markets, such as smart cities, services, homes or even consumer electronics.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/f14ab96a-a432-48b7-97f4-39d634e098d31,,,,,,,,,917893422,26.51B,01,,,,,,,,['https://www.steerlight.com/'],GRENOBLE
SUNOLOGY,"With its Solar Stations that can be plugged into a simple outlet and nearly 100,000 equipped households, Sunology has established itself as the pioneering brand of the new generation Solar. Its mantra? Solar for everyone. Everywhere. Sunology solves solar-related problems by eliminating the need for a roof, offering more immediate profitability, removing the fear of construction, and the need to hire an installer thanks to the Sunology PLAY solar station. It can be plugged into a standard outlet in less than 2 minutes, whether you live in a house or an apartment. With PLAY Max, a world-class product, Sunology pushes the limits of what's possible. With one battery per station, the power and energy storage capacity are perfectly adjusted to match solar production. 100% of the production is utilized. Depending on your ability to self-consume your daytime production, you can add up to one battery per station to store your surplus and inject it into your network in the evening. Unique!",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/febba255-90da-4b2b-bcfb-1ad4d5f49a9f1,,,,,,,,,877740258,27.11Z,11,,,,,,,,['https://www.sunology.eu/'],NANTES
SUBLIMED,"actiTENS is based on transcutaneous electrical neurostimulation, a clinically proven medical technology. Users can benefit from this effective non-pharmacological solution. actiTENS discreetly stimulates every patient suffering from pain, enhancing pain relief, improving quality of life, and reducing drug consumption. The device is controlled via a smartphone application, allowing users to select from various programs. Now, every patient has the option to create an account for a personalized experience, storing stimulation data and tracking pain progress and impact. actiTENS is distinguished by its wide range of accessories, including lumbar and multisite electrodes, designed to provide patients with a personalized and discreet experience.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/6993b21e-0ec1-4a9c-ad9f-c9b71c59aaf81,,,,,,,,,813959012,26.60Z,11,,,,,,,,['https://vivatechnology.com/partners/subli-med.fr'],MOIRANS
SWEETCH ENERGY,"Founded in 2015 and based in Rennes with around 40 employees, Sweetch Energy is a renewable energy player specializing in osmotic energy, committed to a carbon-neutral world. Its INOD® technology enables the production of clean, competitive electricity from salt water, a permanent and abundant source of energy, untapped to date. Driven by a determination to push back the frontiers of renewable energy, its highly qualified, multicultural team combines scientific expertise with industrial vision. Sweetch Energy enjoys the support of multiple renowned European and French institutions. It is financially backed by industrial, deeptech and cleantech investors (Crédit Mutuel Impact, EDF, CNR, Go Capital, Demeter Investment Managers, Future Positive Capital) as well as by BPI, Ademe, and the European Innovation Council. It also works closely with French research institutions, especially with Professor Lydéric Bocquet's teams (CNRS, ENS).",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/11339803-4cc9-450c-a339-31ef207f9cd61,,,,,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://vivatechnology.com/partners/sweetch.energy'],SAINT-GRÉGOIRE
TCHAO TCHAO,"Le kit d'aménagement Tchao Tchao transforme notre véhciule du quotidien en van aménagé. Il est 100% amovibles et s'installe en 5 minutes, seul-e et sans outils. Le kit est compatible ave plus de 200 modèles de véhicule en Europe !",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/030238db-663c-4b74-a1fe-f5dfca33fb781,,,,,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://tchao-tchao.com/'],ANGERS
TOOG,Toog is the first online platform for booking leisure activities.,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/04f1a220-50bb-4de3-9201-01159450e37d1,,,,,,,,,501578793,62.01Z,Non disponible,,,,,,,,['https://www.toog-app.com/'],BORDEAUX
TOLV,"TOLV transforms ICE vehicles into electric. As a European leader in the industrial retrofitting of LCVs, TOLV partners with the French manufacturer Renault to provide businesses and the public sector with a low-cost, eco-friendly, and efficient solution.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/aae941d7-5177-4035-a1e8-980d0ae76a201,,,,,,,,,853875276,29.10Z,12,,,,,,,,['https://www.tolv-systems.com/'],FONTAINE
TREESITION,"Treesition: Pioneering Sustainable Investments With Technology At Treesition, we’re at the forefront of environmental innovation, merging nature with technology to create ecological solutions for the planet. By utilising the rapid growth and carbon-capturing abilities of Paulownia trees, we offer sustainable timber products that contribute to global reforestation efforts. Our unique approach integrates blockchain technology to ensure data integrity, transparency, and security in all our transactions, making Treesition a trustworthy partner for green investments. We invite investors and tech enthusiasts to join us in our mission to accelerate the world’s transition to sustainability. Through strategic partnerships and cutting-edge technology, Treesition is not just planting trees – we’re growing investments, advancing technology, and fostering a greener and more sustainable future.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/6e95502d-24f0-4d0a-b594-ce97c333b0771,,,,,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://treesition.com/'],ORLÉANS
TRAINME,"As a part of a quality of life at work approach, TrainMe has been supporting its 1,300 clients since 2015 in customized sports, well-being and health prevention programs layout in companies. As a major player in corporate well-being, TrainMe sets more than 115,000 employees in motion throughout France, thanks to its 3,000 coachs network. With more than 310,000 activities participations, TrainMe offers a daily support, easily accessible and adapted to all individual needs.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/ea6ab424-14a1-485b-a996-ee88090aefe31,,,,,,,,,811829837,93.19Z,12,,,,,,,,['https://trainme.co/fr'],PARIS
TRACE FOR GOOD,"Trace For Good is the sustainability data enrichment software that accelerates product and supplier intelligence for forward-looking brands. By leveraging AI and advanced data mining, our solution allows thousands of users worldwide to save time in data exchange and documents management. The software is built for brands wishing to industrialize traceability and set up systematic data and certificates collection from their suppliers to: - Comply with regulation - Communicate in a transparent, proof-based manner to customers - Reduce supply chain risks - Collect Scope 3 data for extra-financial reporting and precise impact calculations Trace For Good is a mission-driven company whose purpose is to make traceability possible for all consumer lifestyle products to standardize the tracking of social and environmental indicators and enable: - Reduced environmental impact - Improved social conditions of workers - Comparison standards to guide consumers in their purchasing decisions",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/ac60d67c-0bf3-4660-9dde-61463a0582521,,,,,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://www.traceforgood.com/'],PARIS
TRENDEX,"YCombinator-backed Trendex became one of the first companies to tokenize the images of athletes and celebrities, enabling fans to engage with the careers of their favorite talents. Our platform boasts hundreds of celebrities, including renowned figures like Ballon d'Or winner Karim Benzema, NBA sensations Rudy Gobert and Marcus Smart, FC Barcelona and Premier League players, actor and martial artist JC Van Damme, among many Golden Record music artists and premium YouTubers. This has created an unprecedented gathering of talents and fans in one place. Today, Trendex is broadening its B2B operations by utilizing its unique expertise and wide-ranging catalog of personalities to assist corporate clients. We offer comprehensive image partnership solutions for companies seeking brand ambassadors. From selecting the most appropriate talents and managing legal documentation, to producing visuals, we enhance your brand impact and can increase your campaign's ROI by 400%.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/38679b56-281f-4ca5-8076-f8c4fe5e17141,,,,,,,,,894659069,62.01Z,11,,,,,,,,['https://vivatechnology.com/partners/www.trendex.agency'],PARIS
UP&CHARGE,"UP&CHARGE: induction charging station for electric vehicles. Our cable-free charging station costs up to 4x less to install, saves 6-30% energy per charge, and eliminates the need for messy, bulky cables that have to be replaced frequently. We are targeting the largest B2B fleets in France (local authorities & companies). We're looking for manufacturers, rental companies, B2B and B2G fleets with whom to do POCs over 2024. How it all started? Former engineer Guy Flaquiere, who created electric scooters 20 years ago, visited his doctor Gil Chicheportiche. He told him about a project he was developing: a patented electric vehicle charging demonstrator he was creating to recharge his recently purchased electric vehicle. The doctor saw the project's potential, became director and identified other patients motivated to join the project. Up&Charge was born! Now UP&CHARGE is an interdisciplinary multigenerational team with 50% of the team above 55 years old and the rest under 30.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/2e524830-cc7a-4e71-ae45-4f2659b5769f1,,,,,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://upandcharge.com/'],ISSY LES MOULINEAUX
VIQTHOR,"VIQTHOR offers an innovative Quantum Control System based on active noise cancellation, drive and readout signals multiplexing and use of photonics. This device will make it possible to manipulate quantum bit control signals on a large scale while minimizing the energy required. This is a hardware assembly to be integrated into a quantum computer to be able to manipulate qubits with high fidelity using optical and/or electrical pulses with very low noise. These innovations are critical to reaching 1 million qubits.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/44be1c68-8a52-4409-817e-d44f1c7120be1,,,,,,,,,918459264,26.51B,Non disponible,,,,,,,,['https://vivatechnology.com/partners/www.viqthor.com'],SAINT GERMAIN EN LAYE
VIDETICS,"VIDETICS' core business is the development of video analysis tools using Artificial Intelligence to provide operators and decision-makers with the most relevant elements for decision-making. The software solution generates real-time alerts and statistical data to optimize video protection investments for private companies, local authorities and buildings. Videtics solutions connect to existing video-protection camera networks and relay real-time information to operators, infrastructure managers and elected representatives, enabling them to make informed decisions. Videtics Perception integrates various components for planning analyses, configuring scenarios by positioning barriers and virtual zones, and visualizing analysis results. Offering an interconnected, collaborative interface between workstations and users of the Videtics mobile application, the solution ensures continuity of service in nomadic or mobile situations.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/7e6ad17a-afed-4f45-a9e0-69c412d13e9c1,,,,,,,,,849070792,62.02A,12,,,,,,,,['https://www.videtics.com/'],SOPHIA-ANTIPOLIS
WAAT,"WAAT est un opérateur français de bornes de recharge pour véhicules électriques, à l’attention de la Copropriété, du Tertiaire et des Bailleurs sociaux. Présent sur l’intégralité du territoire, WAAT intervient de l’étude technique aux travaux d’installation en passant par la maintenance et la supervision des bornes électriques. L'ambition de WAAT est de déployer la recharge électrique pour réduire l’empreinte carbone, assurer une autre vision de l'énergie et rendre notre environnement plus sain. WAAT est le seul opérateur de bornes de recharge privatives pour véhicules électriques, à proposer sa propre application - MyWAAT - pour suivre vos consommations en temps réel et programmer vos recharges pour en optimiser le coût. Que vous soyez un particulier soucieux de votre empreinte carbone et de vos dépenses énergétiques, ou un professionnel en quête de la meilleure solution de recharge pour une gestion optimale de votre flotte auto, WAAT sait répondre à tous vos besoins.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/7d93190d-1111-4ba8-a8fd-cdff06c2efce1,,,,,,,,,840227060,71.12B,22,,,,,,,,['https://waat.fr/'],PARIS
W PLATFORM,We also propose to reseal CO2 biogenic captured for any usage (alimentary and others).,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/b55ebcc8-4dba-4cdf-aca8-1bbd6fd71bfc1,,,,,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://w-platform.fr/'],BORDEAUX
WATTALPS,"WATTALPS designs, assembles and sells high performance modular battery system to electrify heavy duty industrial equipment. WATTALPS uses a patented immersion cooling technology enabling to push the limits of li-ion batteries, increasing their performance, life and safety. WATTALPS is already active in the field of construction, agriculture, mining, special trucks and race cars.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/b7256997-ad80-4174-a862-6a4cf5bb1bb11,,,,,,,,,837650795,74.90B,11,,,,,,,,['https://vivatechnology.com/partners/www.wattalps.com'],MOIRANS
WASPITO,"Community driven platform for telehealth and insurance distribution services. Connecting patients to doctors, labs and pharmacies to deliver health without a step via a mobile application. Present in Cameroon and Cote d'Ivoire with entry into Senegal and Gabon in the works.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/3bd2f442-0ea0-46f0-8278-f7be08f4d34c1,,,,,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://www.waspito.com/'],DOUALA
WELINQ,"Welinq est une société de réseautage quantique pionnière qui développe et commercialise des liens quantiques basés sur des mémoires quantiques d'atomes neutres refroidies au laser pour interconnecter les ordinateurs quantiques afin d'augmenter considérablement leur puissance de calcul et d'assurer leur déploiement dans des clusters dans les locaux des clients. Welinq est une spin-out de l'Université Sorbonne, du CNRS et de l'Université PSL, fondée en 2022 par Tom Darras, le professeur Julien Laurat, le Dr. Eleni Diamanti et Jean Lautier-Gaud. Pour en savoir plus sur Welinq, visitez www.welinq.eu.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/4eaccd6e-517b-43bc-b901-99380a45fafa1,,,,,,,,,909607087,62.01Z,01,,,,,,,,['https://www.welinq.eu/'],PARIS
WISE-INTEGRATION,"Wise Integration is a pioneering company in the field of power electronics, focusing on the development of advanced Gallium Nitride (GaN) power integrated circuits and digital controllers. Wise Integration offers two main product lines: WiseGan® and WiseWare®. WiseGan® encompasses GaN Power Integrated Circuits that are designed to maximize the benefits of GaN technology, including higher power density, efficiency, and reduced heat generation. WiseWare®, on the other hand, is a digital controller MCU 32bits, optimized for GaN-based power supply architectures, offering simplified system design, reduced bill of materials, and improved power density and efficiency. The company targets several markets with its innovative products, including consumer electronics, e-mobility, industrial applications and data centers Wise Integration's solutions are designed to address the increasing demands for miniaturization, electrification, and efficient power management in these sectors.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/66c938a1-0111-4f8e-aa66-05849e1979d11,,,,,,,,,881644900,26.11Z,11,,,,,,,,['https://vivatechnology.com/partners/www.wise-integration.com'],HYERES
WHITELAB GENOMICS,"WhiteLab Genomics is a startup founded in 2019, based in Paris and Boston and leveraging Artificial Intelligence to accelerate and mitigate risks in early-stage R&D within the field of genomic medicine. We’re using biological data guided rational approaches to improve these cell and gene therapies, DNA or RNA-based, addressing both viral and non-viral delivery. We are engaged in partnerships with renowned academic institutions (INSERM, ICM, Institut de la Vision, Genethon), as well as biotech and pharmaceutical companies (Sanofi, SIREN Biotechnology). Our tools and approaches are aimed to address critical challenges in the biopharma industry through accelerating target discovery, vector (either viral and non-viral) and payload design, and bioproduction. By bringing together the power of computer sciences and biology, we help our customers develop more genomic medicines, faster, in leaner ways and make those revolutionary drugs more accessible, affordable, and safer to patients.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/822b91bd-c6b9-4070-90e9-cd0a75b4a8401,,,,,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://whitelabgx.com/'],PARIS
WORK WITH ISLAND,"Work With Island designs and sells environmental friendly office pods. We are proud to be official provider, and host you in quiet spaces during Vivatech. Our soundproof booths cater to the needs of the modern workplace, improving comfort where personal, silent space is scarce. We are proud to serve a wide range of clients from SMEs to corporates, and offer their teams an Island of serene, focused work. Join us on our booth in partnership with Deezer to test your blind test skills in our sound booth or relax in our meditation pod.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/48416447-835f-43b1-a931-cda1e7f75f5a1,,,,,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://workwithisland.com/en'],None
WOODOO,"Woodoo wants to change the world... of construction. How? By making its augmented wood THE material of a sustainable future. Our innovation ushers in a new industrial era, paving the way for a net-zero world. By transforming wood at a molecular level, Woodoo provides high-performance mechanical and environmental solutions to the building sector—an industry that is equal parts energy-intensive and hungry for decarbonized solutions. STACK is not a wood substitute but a true breakthrough innovation. STACK is a low-carbon, augmented wood, transformed at the molecular level. The outcome is a biomaterial that redefines performance standards, including: - ENHANCED STRUCTURAL PROPERTIES - MINIMIZED PERFORMANCE VARIABILITY - HIGH DIMENSIONAL STABILITY - UNPARALLELED ROBUSTNESS - AN ENVIRONMENTAL FOOTPRINT THAT OUTPERFORMS COMPETITION",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/eb29463f-ce7b-4d38-af3e-2d78a268399f1,,,,,,,,,442858031,64.20Z,Non disponible,,,,,,,,['https://woodoo.com/'],PARIS
XTRAMILE,"Xtramile is a cutting-edge AI-powered talent acquisition platform that transforms recruitment processes. It automates the distribution of job ads seamlessly across diverse channels in any format, streamlining outreach and maximizing visibility. By analyzing and scoring CVs intelligently, Xtramile identifies the most relevant candidates, saving time and ensuring precision in candidate selection. In addition to the above, Xtramile offers granular historical and predictive analytics on recruitment campaigns, empowering organizations to make data-driven decisions. Insights into application conversion rates, source effectiveness, and candidate quality enable continuous performance improvement over time. With Xtramile, organizations achieve operational efficiency, improve candidate quality, and reduce costs significantly. By leveraging AI-driven automation and sophisticated analytics, Xtramile is reshaping the future of talent acquisition.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/9a9cacb3-1e64-44f3-a3f2-03e80f52f56e41,,,,,,,,,808982037,63.11Z,11,,,,,,,,['https://xtramile.io/home'],PARIS
DELUPAY,"DeluPay actually reinvents payments from scratch. Combining QR, NFC and Bluetooth Low Energy into one seamless payment platform, it processes payments end-to-end from customer to merchant, lightning fast. It’s not a wallet where you have to either type in your payment card or deposit cash. It’s a full replacement for payment cards, with even deferred debit for solvent customers. Because it eliminates the 5 intermediaries required to process card payments, it is able to kill payment processing fees. It also has major impact, being certified as reducing by 95% carbon dioxide emissions compared to payment cards. Delupay is a game-changer, not only in technological innovation but also in its dedication to empowering businesses.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/955a8559-3426-4be8-8e3c-089321ce8d451,,,,,,,,,914438031,62.02A,01,,,,,,,,['https://www.delupay.com/'],None
DESINFECTION TECHNOLOGIE SOLUTION,Non disponible,Non disponible,,,,Non disponible,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://www.dt-solution.fr/'],"25 rue des joncs des bois Avignon, - 84000 France"
DEVANA,"Devana is a highly accessible and secure generative knowledge management AI software (available as SaaS, integrated, or on-premise), incorporating cutting-edge proprietary technologies (contextual embeddings, RAG scoring, multi-agent architecture, AutoML, Auto-RAG), to enable businesses to easily create, deploy, and orchestrate reliable conversational agents, whose results are explainable and transparent. Devana aims to give its users, whether novices or experts, the ability to design their own ""trusted AI"". To this end, it allows for : 1) democratizing the use of GenAI through redesigned ergonomics 2) evaluating and verifying each piece of information generated by the GenAI and providing the keys to understanding it. 3) making the right model choices and managing usage, aiming for frugal use. Devana aims to become the generic and trusted GenAI solution for businesses.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/ed6bcf4d-8f75-4ade-8950-e8831ca1f5f61,,,,,,,,,815355763,85.59A,02,,,,,,,,['https://www.devana.ai/'],NANTES
ENCHANTED TOOLS,"Enchanted Tools has created The Mirokaï, logistics robots designed for social environments: assistants that move objects and are designed to be in contact with end-users. Mirokaï are prototypes characterized by radical approaches: Anime-inspired design, standardized handles and a rolling globe that allows free mobility. In hospitals they will be able to carry equipment, letting nurses provide enhanced care to patients.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/53aede04-41b3-4662-8387-42517ab9ba971,,,,,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://enchanted.tools/'],None
ENTROPY,"Entropy provides travel demand forecasts for all on-demand transport services. Our tools are capable of indicating the number of customers for a service or a point of interest 24, 48 hours and up to 15 days in advance. They enable mobility services operators to dispatch their vehicles more efficiently, thereby increasing the matching rate, reducing the waiting time for service users and boosting profitability. At a global level, this data-driven optimisation encourages intermodal travel and reduces the carbon footprint associated with people's journeys. The forecast data is available via a visualisation and analysis interface, available on smartphones and computers.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/221442fa-e312-4077-903e-e8d0dbf819001,,,,,,,,,843944497,43.22B,11,,,,,,,,['https://vivatechnology.com/partners/www.entropy.sc'],VERSAILLES
EPSEED,"Epseed, established in 2023, embodies the determination to provide a clear response to the security challenges within companies of all sizes. Born from the initiative of students during the pandemic, Epseed's objective is to secure the digital work practices of companies that lack the knowledge or financial means to do so themselves. Following the COVID-19 pandemic, many companies have been targeted, often through their employees who have been used as Trojan horses to reach their company. In most cases, this was due to the use of personal computers for work, a practice that has become common and almost unavoidable, known as ""Bring Your Own PC"" (BYOPC), making companies even more vulnerable to cyberattacks. At Epseed, we have not only attempted to solve this problem, but we have eliminated it by creating the Seed, a small device designed for businesses, especially small and medium-sized ones, where employees use their own personal computers for work.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/5f04dea3-ce99-4c0f-b712-32d4e3a17a251,,,,,,,,,922750237,62.01Z,Non disponible,,,,,,,,['https://epseed.com/'],NICE
EURATECHNOLOGIES,"EuraTechnologies is one of Europe's largest startup incubators and accelerators. Our mission is to support the development of digital companies and entrepreneurs, from idea to project and up to international deployment, while trying to improve the social and ecological environment around us to to design a better future.",https://exhibitors.ces.tech/mys_shared/CES25/logos/0013A00001egdHHQAY.jpg,,,,Non disponible,,,,,538862277,70.22Z,12,,,,,,,,['Non disponible'],"165 Avenue de Bretagne Lille, 59000 France"
FRENCH TECH / REGION NOUVELLE-AQUITAINE,Non disponible,https://exhibitors.ces.tech/mys_shared/CES25/logos/0013A00001SNSa8QAH.png,,,,Non disponible,,,,,327697512,41.10D,Non disponible,,,,,,,,['https://www.nouvelle-aquitaine.cci.fr/'],"2 place de la Bourse - CS 91942 Bordeaux Cedex, 33050 France"
HOPCAST,"Hopcast is a cutting-edge software solution that revolutionizes content sharing on mobile devices. By leveraging Device-to-Device communication, Hopcast enables direct, energy-efficient, and cost-effective data transfers, reducing reliance on centralized servers and cellular networks.",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nX3eUIAS.jpg,,,,https://x.com/hopcast_io,,,,,910647320,62.01Z,Non disponible,,,,,,,,['https://hopcast.fr/'],"27 Rue Étienne Marcel La Garenne Colombes, - 92250 France"
INTERNATIONAL BOOST,Non disponible,Non disponible,,,,Non disponible,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://www.internationalboost.com/home/'],"374 rue de Vaugirard Paris, 75015 France"
LEDSCAPE,Non disponible,Non disponible,,,,Non disponible,,,,,984894758,26.40Z,Non disponible,,,,,,,,['https://ledscape.io/'],"45 avenue du président JFK Biarritz, - 64200 France"
LUCHROME,"Luchrome offers the next generation ultra-low power electronic display for IoT. Our solutions is fully printed with standard technique on flexible substrate with a process scalable at large-scale. Thanks to this new type of display, we can provide a display that is 10 less consuming in terms of energy, 3 times in terms of price and 60 times lower in terms of environmental footprint compared to the solutions already on the market. Different applications are targeted : electronic shelf label for retail as a replacement of current products but we can also enable new possibilities to asset tracking in the logistics and consumer electronics.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/6af817b9-ed0f-4db0-b447-7e876eced6a81,,,,,,,,,977523851,71.12B,Non disponible,,,,,,,,['https://www.luchrome.com/'],BORDEAUX
MOLLUSCAN-EYE,"24/7 water quality biomonitoring with connected mollusks. A unique pollution alert system that allows unparalleled responsiveness and precision in current monitoring systems (laboratory tests can't analyse everything and are slow). A major innovation for the protection of the environment. We allow industries, ports, waste water treatment plants and municipalities to know and control the impact of their activities on the aquatic environment by providing 24/7 biomonitoring, remotely and without maintenance. Benefits are: - Real Time - Sustainable - Cost Effective - Strong communication tool 17 years of R&D at University of Bordeaux and CNRS",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/932efd26-4386-46a6-8108-5fa92c9aec491,,,,,,,,,949624076,33.20C,Non disponible,,,,,,,,['https://vivatechnology.com/partners/www.molluscan-eye.com'],MERIGNAC
OBO WORLD,"Obo World offers innovative digital solutions based on AI and an inclusive virtual agent named Obo. The virtual agent is trained and equipped to assist companies in various tasks including recruitment, human resources management, and customer satisfaction evaluation. Our clients: all companies regardless of their size, industry, and in any country and language. obo sources the best candidates from job boards and CV databases, conducts pre-qualification interviews, and provides recruiters with debriefs of these interviews. The recruiter retains control of the tool throughout the recruitment process carried out by obo.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/81a48c19-bbaa-4d72-a236-11c6618c45eb1,,,,,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://www.obo-world.com/'],ANNECY
OCTAVIO,"Octavio is a French audio manufacturer dedicated to democratizing high-quality music listening. Having installed our products in thousands of homes across France, we're now keen to bring our expertise to professionals, to make their spaces sound even better. We provide a high-quality, self-contained audio system for any commercial space. In addition to the hardware, our team will work with you to create the right atmosphere for your space.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/ba6b314e-98dc-4b8a-857f-e707f4f872851,,,,,,,,,888313335,56.10C,02,,,,,,,,['https://octavio.fr/'],TOURCOING
