nom,SIREN,Date de création,Denomination légale,Denomination usuelle,Activité principale,Tranche effectifs,Catégorie entreprise,État administratif,Adresse
SMILEREPAIR,823948674,2016-12-01,CYALINK,Non disponible,47.41Z,02,PME,A,"23 RUE DU VAL VERT, 74000 ANNECY"
SMOKE WATCHERS,800071607,2014-01-21,SMOKEWATCHERS,Non disponible,47.41Z,Non disponible,PME,A,"36 RUE DE TURIN, 75008 PARIS"
SMS PARTNER,805010386,2014-10-01,NDA MEDIA,Non disponible,62.02A,02,PME,A,"30 RUE DE SAINT-PETERSBOURG, 75008 PARIS"
SMT PERFORMANCES,830632014,2017-06-28,SMT PERFORMANCES,Non disponible,26.30Z,11,PME,A,"17 PLACE MAGELLAN, 44800 SAINT-HERBLAIN"
SNAPCALL,814387817,2015-10-26,SEAMPL,Non disponible,62.01Z,03,PME,A,"20 RUE SAINT-FERDINAND, 75017 PARIS"
SNAPSHIFT,818582801,2016-02-19,COMBO SAS,Non disponible,62.01Z,22,PME,A,"32 RUE DE TREVISE, 75009 PARIS"
SNCF - DIRECTION NUMÉRIQUE GROUPE,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
SNL PROLOGUES,380680231,1991-01-01,ETS BOUNET,Non disponible,50.1Z,Non disponible,Non disponible,C,"AV DE DANIATE, 32110 NOGARO"
SO SHAPE,798038345,2013-10-07,SO SHAPE,Non disponible,47.91B,12,PME,A,"25 RUE DE PONTHIEU, 75008 PARIS"
SOCIAL BUILDER,539145193,2010-02-08,SOCIAL BUILDER,Non disponible,94.99Z,12,PME,A,"5 RUE DE LA PLAINE, 75020 PARIS"
SOCIAL CRUNCH,849248505,2019-03-14,SOCIAL CRUNCH,Non disponible,62.01Z,Non disponible,PME,C,"139  HENT LESVERN, 29170 FOUESNANT"
SOCIAL DIRECT,900613670,2021-05-15,SOCIAL DIRECT,Non disponible,62.01Z,01,PME,A,"96 RUE RAYNOUARD, 75016 PARIS"
SOCIAL MEDIA FAMILY,825166812,2017-01-16,SOCIAL MEDIA FAMILY,Non disponible,70.21Z,03,PME,A,"8 ALLEE DES SYMPHORINES, 37540 SAINT-CYR-SUR-LOIRE"
SOCIAL MOOV,531968873,2011-05-01,SOCIAL MOOV,Non disponible,62.03Z,Non disponible,PME,C,"78 RUE DU FBG ST ANTOINE, 75012 PARIS 12"
SOCIALLYMAP,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
SOCIETE NATIONALE DES OBJETS CONNECTES,809823065,2015-03-01,SOCIETE NATIONALE DES OBJETS CONNECTES,Non disponible,26.40Z,02,PME,A,"7 RUE DU BON PUITS, 49480 VERRIERES-EN-ANJOU"
SOCIÉTÉ CHOLETAISE DE FABRICATION,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
SOCIÉTÉ DE RECHERCHE EN TECHNOLOGIES TRANSVERSES,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
SOCIÉTÉ GÉNÉRALE,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
SOCLOZ,523311173,2010-06-04,CLOSE TO ME,Non disponible,58.29A,12,ETI,A,"28 RUE DU SENTIER, 75002 PARIS"
SOFT KIDS,850938184,2019-05-14,SOFT KIDS,Non disponible,85.60Z,02,PME,A,"23 RUE DU MONT VALERIEN, 92210 SAINT-CLOUD"
SOFTBRIDGE TECHNOLOGY,808583744,2014-11-01,SOFTBRIDGE TECHNOLOGY,Non disponible,62.01Z,03,PME,A,"ALL DES TELECOMMUNICATIONS, 97122 BAIE-MAHAULT"
SOLAIRE BOX,813806866,2015-09-28,SOWEFUNDED SOLAIRE BOX,Non disponible,64.20Z,Non disponible,PME,A,"38 RUE SERVAN, 75011 PARIS"
SOLAL TECH,901455030,2021-07-13,SOLAL TECH,Non disponible,62.01Z,02,PME,A,"19 BOULEVARD MER CASPIENNE, 73370 LE BOURGET-DU-LAC"
SOLAR BROTHER,818655250,2016-02-24,SOLAR BROTHER,Non disponible,46.90Z,03,PME,A,"21 PLACE DE LA REPUBLIQUE, 75003 PARIS"
SOLAR CLOTH SYSTEM,800532822,2014-02-08,SOLAR CLOTH SYSTEM,Non disponible,35.11Z,02,PME,A,"141 AVENUE JEAN MERMOZ, 06210 MANDELIEU-LA-NAPOULE"
SOLASCURE,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
SOLELH ENERGIE,987424983,2024-01-31,SOLELH ENERGIE,Non disponible,47.91B,Non disponible,Non disponible,A,"425 CHEMIN DES SOULIERS, 07200 VESSEAUX"
SOLID POWER,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
SOLLAN FRANCE,448330357,2003-04-10,SOLLAN FRANCE,SOLLAN FRANCE,62.01Z,12,PME,A,"68 RUE MARJOLIN, 92300 LEVALLOIS-PERRET"
SOLUTION DATA,501458723,2007-12-11,SOLUTIONDATA,SOLUTIONDATA,46.51Z,21,PME,A,"77 AVENUE PRESIDENT J.F. KENNEDY, 33700 MERIGNAC"
SOLUTIONS 909,843936329,2018-11-06,SOLUTIONS 909,Non disponible,58.29C,02,PME,A,"6 RUE DU CAPRICORNE, 13320 BOUC-BEL-AIR"
SOLUTIONS PARFUM GRASSE,838174258,2018-03-08,SOLUTIONS PARFUM,Non disponible,20.42Z,02,PME,A,"29 CHEMIN DU SANTON, 06130 GRASSE"
SOLÉO-ÉCOSOLUTIONS,823567714,2016-10-28,SOLEO ECO-SOLUTIONS,Non disponible,72.19Z,Non disponible,PME,A,"5 ROUTE D’ORLEANS RN 20, 91310 MONTLHERY"
SOMEO SOLUTIONS,812244630,2015-06-15,SOMEO SOLUTIONS,Non disponible,96.09Z,01,PME,A,"4 RUE PLUMIER, 13002 MARSEILLE 2EME"
SOMNO ENGINEERING,895108009,2021-03-01,SOMNO ENGINEERING,Non disponible,71.12B,01,PME,A,"2 AVENUE GALILEE, 86360 CHASSENEUIL-DU-POITOU"
SON SAS,891358525,2020-11-20,SON,Non disponible,20.59Z,02,PME,A,"9 AVENUE ALAIN SAVARY, 21000 DIJON"
SONUP,878190875,2019-09-30,LBVC,Non disponible,62.01Z,12,PME,A,"ROND-POINT BENJAMIN FRANKLIN, 34000 MONTPELLIER"
SOPHIA ENGINEERING,480300425,2005-01-12,SOPHIA,Non disponible,71.12B,22,PME,A,"5 RUE SOUTRANE, 06560 VALBONNE"
SOPHIA GENETICS,804552651,2014-08-01,SOPHIA GENETICS,Non disponible,63.11Z,22,PME,A,"AVENUE DE CANTERANNE, 33600 PESSAC"
SOPRA STERIA,326820065,1968-01-01,SOPRA STERIA GROUP,Non disponible,62.02A,53,GE,A,"31 AVENUE DE PARIS, 45000 ORLEANS"
SORAREDATA,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
SORELLA CARE,911037695,2022-02-28,SANTE FEMMES,Non disponible,70.22Z,03,PME,A,"88 BOULEVARD GALLIENI, 92130 ISSY-LES-MOULINEAUX"
SOTERIA LAB,808004626,2014-11-10,SOTERIA LAB,Non disponible,47.41Z,03,PME,A,"96 BOULEVARD D'AUSTRASIE, 54000 NANCY"
SOUTH PIGALLE,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
SPACE DESIGNER 3D,818337313,2016-01-01,PYRAMID MUSIC,Non disponible,90.01Z,Non disponible,PME,A,"64 RUE D'ORSEL, 75018 PARIS"
SPACE ELEPHANT,839193422,2018-04-17,SPACE ELEPHANT,Non disponible,62.01Z,Non disponible,PME,C,"42 QUAI MALAKOFF, 44000 NANTES"
SPACE LOCKER,921381083,2022-10-26,SPACELOCKER,Non disponible,71.12B,Non disponible,PME,A,"3 RUE ALARIC II, 31100 TOULOUSE"
SPARK CLEANTECH,909736068,2021-12-30,SPARK CLEANTECH,Non disponible,71.12B,01,PME,A,"3 RUE JOLIOT-CURIE, 91190 GIF-SUR-YVETTE"
SPARK LAB,813316205,2015-09-01,SPARKLAB,Non disponible,71.12B,11,PME,A,"45 QUAI JAYR, 69009 LYON"
SPARKLING PARTNERS,803163625,2014-06-16,SPARKLING PARTNERS,Non disponible,71.12B,02,PME,A,"19 RUE BERGERE, 75009 PARIS"
SPARKMATE FRANCE,881799035,2020-02-11,SPARKMATE PARIS,Non disponible,71.12B,03,PME,A,"128 AVENUE JEAN JAURES, 94200 IVRY-SUR-SEINE"
SPARKOW,451341036,2003-12-04,COMPARIO,WWW.COMPARER.COM - WWW.COMPAREZ.COM - COMPARE,62.02A,11,ETI,A,"39 BOULEVARD DES CAPUCINES, 75002 PARIS"
SPARTHA MEDICAL,877489203,2019-10-09,SPARTHA MEDICAL,Non disponible,72.11Z,11,PME,A,"2 RUE MARIE HAMM, 67000 STRASBOURG"
SPARUS SOFTWARE,449012905,2003-06-27,ZENPRISE FRANCE,SPARUS,58.29A,Non disponible,Non disponible,C,"32 RUE DES JEUNEURS, 75002 PARIS 2"
SPECTRAL TMS,837539386,2018-02-12,SPECTRAL TRANSACTIVE MEMORY SYSTEMS,Non disponible,58.29C,11,PME,A,"3 IMP DU 49 FBG ST MARTIN, 75010 PARIS 10"
SPECTRAL TRANSACTIVE MEMORY SYSTEMS,837539386,2018-02-12,SPECTRAL TRANSACTIVE MEMORY SYSTEMS,Non disponible,58.29C,11,PME,A,"3 IMP DU 49 FBG ST MARTIN, 75010 PARIS 10"
SPEEXX,497909929,2007-05-02,DIGITAL PUBLISHING,Non disponible,85.59B,12,PME,A,"84 RUE D'HAUTEVILLE, 75010 PARIS"
SPHÈRES,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
SPINEM ROBOTICS,905250361,2021-11-12,SPINEM ROBOTICS,Non disponible,72.19Z,02,PME,A,"75 AVENUE GABRIEL PERI, 38400 SAINT-MARTIN-D'HERES"
SPIRABLE,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
SPIX INDUSTRY,791852288,2013-03-18,SIMSOFT3D,Non disponible,71.12B,11,PME,A,"815  LA PYRENEENNE, 31670 LABEGE"
SPORE.BIO,922166996,2022-12-07,SPORE BIOTECHNOLOGIES,Non disponible,71.20B,Non disponible,PME,A,"6 RUE JEAN CALVIN, 75005 PARIS"
SPORT FACTION,797513975,2013-09-24,SPORT FACTION,SPORT FACTION,62.01Z,00,PME,A,"114 RUE GALLIENI, 92100 BOULOGNE-BILLANCOURT"
SPORT HEROES,802532200,2014-05-23,SPORT HEROES GROUP,Non disponible,63.11Z,21,ETI,A,"18 RUE DU FAUBOURG DU TEMPLE, 75011 PARIS"
SPORT HEROES GROUP,802532200,2014-05-23,SPORT HEROES GROUP,Non disponible,63.11Z,21,ETI,A,"18 RUE DU FAUBOURG DU TEMPLE, 75011 PARIS"
SPORT QUANTUM,829079292,2017-04-18,SPORT QUANTUM,Non disponible,62.01Z,12,PME,A,"4 RUE RENE RAZEL, 91400 SACLAY"
SPORT TEAM BUILDING,878768365,2019-10-23,SPORT TEAM BUILDING,Non disponible,82.30Z,NN,PME,A,"152 GRANDE RUE DE SAINT CLAIR, 69300 CALUIRE-ET-CUIRE"
SPOTLIGHT MEDICAL,983468976,2024-01-11,SPOTLIGHT MEDICAL,Non disponible,62.01Z,Non disponible,Non disponible,A,"8 RUE DES FRANCS BOURGEOIS, 75003 PARIS"
SPREADBUTTON,534533211,2011-08-01,SPREADINGAPPS,Non disponible,70.21Z,12,ETI,A,"9 RUE GEORGES BRAQUE, 76000 ROUEN"
SPRING INVEST,925013799,2024-03-20,SPRING INVEST,Non disponible,68.20B,Non disponible,Non disponible,A,"20 QUAI DUGUAY-TROUIN, 35000 RENNES"
SPY COMMERCE,792009904,2013-03-01,SPY COMMERCE,Non disponible,62.09Z,Non disponible,PME,A,"27 RUE NOLLET, 75017 PARIS"
SQUADRUNNER / LIVE HAPPIER,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
SQUARE SENSE,834220162,2017-12-20,SQUARE SENSE,Non disponible,62.01Z,12,PME,A,"233 RUE DU FAUBOURG SAINT-HONORE, 75008 PARIS"
STAFF & GO,790565964,2013-01-01,STAFF&GO,Non disponible,70.10Z,Non disponible,PME,A,"81 RUE DE BELLEVUE, 92100 BOULOGNE-BILLANCOURT"
STAFFMAN,904234788,2021-09-24,STAFF MAN,Non disponible,41.20B,Non disponible,PME,A,"18 ALLEE DU PLATEAU, 93340 LE RAINCY"
STAFIZ,821215118,2016-07-01,DILYNX,Non disponible,62.02A,03,PME,A,"45 QUAI DE LA SEINE, 75019 PARIS"
STAGE11,890762750,2020-10-30,STAGE 11,Non disponible,62.01Z,11,PME,A,"20 AVENUE RAPP, 75007 PARIS"
STAMUS NETWORKS,801247495,2014-04-07,STAMUS NETWORKS,Non disponible,58.29C,02,PME,A,"5 AVENUE INGRES, 75016 PARIS"
STANDING OVATION,884522582,2020-06-24,STANDING OVATION,Non disponible,10.89Z,11,PME,A,"3 IMPASSE REILLE, 75014 PARIS"
STANLEY ROBOTICS,808943104,2015-01-09,STANLEY ROBOTICS,Non disponible,71.12B,12,PME,A,"13 RUE SAINT HONORE, 78000 VERSAILLES"
STARBOLT,843132754,2018-10-05,EAAU,Non disponible,45.11Z,03,PME,A,"21 PLACE DE LA MADELEINE, 75008 PARIS"
STARFISH BIOSCIENCE,981922453,2023-11-23,STARFISH BIOSCIENCE,Non disponible,72.11Z,Non disponible,Non disponible,A,"10 RUE DE CAPEYRON, 33000 BORDEAUX"
STARKAGE THERAPEUTICS,841065923,2018-07-01,STARKAGE THERAPEUTICS,Non disponible,72.11Z,02,PME,A,"1 RUE DU PROFESSEUR CALMETTE, 59800 LILLE"
STARQUEST CAPITAL,841065923,2018-07-01,STARKAGE THERAPEUTICS,Non disponible,72.11Z,02,PME,A,"1 RUE DU PROFESSEUR CALMETTE, 59800 LILLE"
STARTIN'BLOX,843134362,2018-10-08,STARTIN'BLOX,Non disponible,63.11Z,02,PME,A,"75 RUE DU JAVELOT, 75013 PARIS"
STARTUP FLOW,823281126,2016-10-19,LATEAM AI,Non disponible,74.90B,12,PME,A,"10 RUE MABILLON, 75006 PARIS"
STARTUP PALACE,812479020,2015-07-01,STARTUP PALACE,Non disponible,82.99Z,03,PME,A,"4 RUE VOLTAIRE, 44000 NANTES"
STATION CODING,851192252,2019-05-20,STATION CODING,Non disponible,70.22Z,Non disponible,PME,A,"465 RUE DU TOUQUET, 62155 MERLIMONT"
STATION W,900699208,2021-06-07,STATION W,Non disponible,66.30Z,Non disponible,PME,A,"1 RUE DE TRETAIGNE, 75018 PARIS"
STEERIO,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
STELLAR TELECOMMUNICATIONS,898983648,2021-04-26,STELLAR TELECOMMUNICATIONS,Non disponible,47.42Z,02,PME,A,"93 ROUTE DES GARDES, 92190 MEUDON"
STELNEO,812170108,2015-06-11,SYLNEO,Non disponible,16.23Z,12,PME,A,"LD LA VALLEE, 85140 SAINTE-FLORENCE"
STEP PHARMA,802795906,2014-05-16,STEP PHARMA,Non disponible,72.11Z,01,PME,A,"101 RUE DE SEVRES, 75006 PARIS"
STICKYADS.TV,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
STILLA TECHNOLOGIES,797426376,2013-09-13,STILLA TECHNOLOGIES,Non disponible,71.12B,21,PME,A,"86 RUE DE PARIS, 91400 ORSAY"
STOCKLEAR,831548706,2017-09-04,SO INVEST SAS,Non disponible,63.11Z,11,PME,A,"33 ALLEE DE LA RAPERIE, 59493 VILLENEUVE-D'ASCQ"
STOCKOSS,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
STONE EDGE,818113672,2016-02-01,STONE EDGE,Non disponible,68.31Z,Non disponible,PME,A,"208 BOULEVARD PEREIRE, 75017 PARIS"
STOPMARCEL,844792598,2018-12-01,STOP MARCEL,Non disponible,70.22Z,Non disponible,PME,A,"7 PL DE LA GARE LA VARENNE, 94100 ST MAUR DES FOSSES"
STOREFRONT,794460097,2013-08-01,POP UP IMMO,Non disponible,63.11Z,11,PME,A,"111 AVENUE VICTOR HUGO, 75016 PARIS"
STORIO ENERGY,982898561,2023-12-18,STORIO ENERGY,Non disponible,58.29C,Non disponible,Non disponible,A,"7 PLACE DE L'HOTEL DE VILLE, 93600 AULNAY-SOUS-BOIS"
STOÏK,923382881,2023-04-11,STOIK FRANCE,Non disponible,62.01Z,Non disponible,Non disponible,A,"4 RUE EULER, 75008 PARIS"
STREAMDATA IO,502377039,2008-02-01,STREAMDATA.IO,MOOTWIN,58.29C,Non disponible,Non disponible,C,"12 RUE NOTRE DAME DES VICTOIRES, 75002 PARIS 2"
STREAMKAP,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
STRONG BY FORM,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
STUDENTPOP,821643608,2016-06-01,STUDENT POP,Non disponible,70.22Z,21,PME,A,"26 AVENUE DES CHAMPS ELYSEES, 75008 PARIS"
STUDIO KER,889157293,2020-10-01,Non disponible,Non disponible,74.10Z,Non disponible,PME,A,"701 RUE DES AUGES, 60680 GRANDFRESNOY"
STUDIO MOA & G,920905767,2022-10-08,STUDIO MOA&G,Non disponible,74.10Z,Non disponible,PME,A,"13 RUE DE LA STATION PONSARD, 38100 GRENOBLE"
STUDIO MOEBIUS,838739654,2018-03-28,STUDIO MOEBIUS,Non disponible,62.01Z,01,PME,A,"25 CHEMIN DE PARADIS, 92500 RUEIL-MALMAISON"
STUDIO NYX,800541757,2014-03-03,STUDIO NYX,Non disponible,62.01Z,11,PME,A,"1 RUE DE SAINTES, 16000 ANGOULEME"
STUDIO PAILLETTE,883669798,2020-06-01,PAILLETTE,Non disponible,70.21Z,01,PME,A,"90 RUE D'HAUTEVILLE, 75010 PARIS"
STUDY QUIZZ,788744936,2012-06-01,M2AD,Non disponible,58.29C,12,PME,A,"54 RUE DE SEINE, 75006 PARIS"
STUDYKA,530774439,2011-02-14,AGORIZE,Non disponible,63.12Z,12,PME,A,"15 RUE BERANGER, 75003 PARIS"
ST?TO,918012121,2022-07-21,STETO,Non disponible,62.01Z,Non disponible,PME,A,"12 BOULEVARD DE PORT-ROYAL, 75005 PARIS"
SUBCLIC,810110023,2015-02-01,ID DEVELOPPEMENT,Non disponible,58.29C,12,PME,A,"67 RUE SYLVABELLE, 13006 MARSEILLE"
SUBLIME ENERGIE,852793223,2019-07-19,SUBLIME ENERGIE,Non disponible,74.90B,11,PME,A,"60 BOULEVARD SAINT-MICHEL, 75006 PARIS"
SUBLIME SKINZ,803054048,2014-06-19,SUBLIME SKINZ,Non disponible,73.12Z,12,PME,A,"161 RUE DU FBG ST ANTOINE, 75011 PARIS 11"
SUCCUBUS INTERACTIVE,441632122,2002-04-15,LUDICIUS,Non disponible,62.02A,11,PME,A,"46 RUE DE STRASBOURG, 44000 NANTES"
SUCRINE CLUB,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
SULITEST IMPACT,899696082,2021-05-01,SULITEST IMPACT,Non disponible,85.59A,03,PME,A,"921  LUMINY, 13009 MARSEILLE 9EME"
SULPICE TV,352330443,1989-10-01,SULPICE SAS,Non disponible,77.29Z,21,PME,A,"533 AVENUE DE VILLARCHER, 73000 CHAMBERY"
SUN ZU LAB,888380557,2020-07-03,SUN ZU LAB,Non disponible,70.22Z,11,PME,A,"7 RUE DE MADRID, 75008 PARIS"
SUN'AGRI,852153428,2019-06-21,SUN'AGRI,Non disponible,35.11Z,12,GE,A,"DONADILLE, 30230 RODILHAN"
SUNNA DESIGN,538125402,2011-11-15,SUNNA DESIGN,Non disponible,74.10Z,12,PME,A,"58 RUE JEAN DUVERT, 33290 BLANQUEFORT"
SUNNY LAKE,820235026,2016-05-10,SUNNY LAKE,Non disponible,62.01Z,Non disponible,Non disponible,C,"100 RUE AMELOT, 75011 PARIS 11"
SUNZU LAB,888380557,2020-07-03,SUN ZU LAB,Non disponible,70.22Z,11,PME,A,"7 RUE DE MADRID, 75008 PARIS"
SUN’R,501428676,2007-10-30,SUN'R GROUPE,Non disponible,66.30Z,12,GE,A,"361 RUE JEAN-FRANCOIS BRETON, 34090 MONTPELLIER"
SUPERFI,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
SUPERMOOD,814058509,2015-09-01,SENTIMY,Non disponible,58.29C,12,PME,A,"10 RUE DE PENTHIEVRE, 75008 PARIS"
SUPERSONIC IMAGINE,481581890,2005-03-10,SUPERSONIC IMAGINE,Non disponible,26.60Z,21,ETI,A,"220  PUYRICARD, 13080 AIX EN PROVENCE"
SUPERTRIPPER,810491019,2015-03-30,SMART CITYVEST,Non disponible,79.11Z,12,PME,A,"37 RUE MARBEUF, 75008 PARIS"
SUPERVISION CREATIVE,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
SUPLI,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
SURFACES TECHNOLOGIES,422929000,1999-05-01,SURFACES TECHNOLOGIES,Non disponible,26.70Z,Non disponible,PME,A,"RUE CHARLES MONTREUIL, 73420 MERY"
SURFE,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
SURGIVISIO,518910419,2009-12-09,ECENTIAL ROBOTICS,Non disponible,26.60Z,22,PME,A,"2 AVENUE DE VIGNATE, 38610 GIERES"
SWAIVE,983675026,2024-01-18,KARMMA,Non disponible,62.01Z,Non disponible,Non disponible,A,"112 AV DE PARIS, 94300 VINCENNES"
SWALLIS MEDICAL,848039004,2019-01-31,SWALLIS MEDICAL,Non disponible,72.19Z,03,PME,A,"69 AVENUE FREDERIC ESTEBE, 31200 TOULOUSE"
SWEEPIN,811910918,2015-05-29,SOLO AGILIS,Non disponible,62.01Z,11,PME,A,"7 RUE BERTIN POIREE, 75001 PARIS"
SWEETCH ENERGY,810876177,2015-03-09,SWEETCH ENERGY,Non disponible,72.19Z,12,PME,A,"6 RUE PIERRE-JOSEPH COLIN, 35000 RENNES"
SWIFTSKU,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
SWIIFT IMAGING,902547850,2021-07-12,SWIIFT IMAGING,Non disponible,26.60Z,Non disponible,PME,A,"44 AVENUE PAUL KRUGER, 69100 VILLEURBANNE"
SWITCH UP,531739829,2011-04-08,SWITCH UP,Non disponible,70.21Z,Non disponible,Non disponible,A,"101 RUE DE SEVRES, 75006 PARIS"
SYA DIGITAL,894428747,2021-02-23,SYA DIGITAL,Non disponible,62.01Z,02,PME,A,"78 RUE SAINT-HELIER, 35000 RENNES"
SYLINK TECHNOLOGIE,829104595,2017-04-18,SYLINK TECHNOLOGIE,Non disponible,62.01Z,11,PME,A,"35 RUE BLATIN, 63000 CLERMONT-FERRAND"
SYMBIOFCELL STE,521148890,2010-02-26,SYMBIO,Non disponible,74.90B,Non disponible,ETI,A,"10 RUE SPECIA, 69190 SAINT-FONS"
SYMPHONY COMMUNICATION,832043590,2017-09-11,SYMPHONY COMMUNICATION SERVICES FRANCE SAS,Non disponible,62.01Z,22,PME,A,"535 ROUTE DES LUCIOLES, 06560 VALBONNE"
SYNAPSE DEVELOPPEMENT,393498324,1994-01-04,SYNAPSE DEVELOPPEMENT,CHERCHEUR INDEXWEB,62.01Z,11,PME,A,"5 RUE DU MOULIN BAYARD, 31000 TOULOUSE"
SYNAPSE MEDICINE,827466590,2017-01-03,SYNAPSE MEDICINE,Non disponible,62.01Z,21,PME,A,"17 PLACE MARTYRS DE LA RESISTANCE, 33000 BORDEAUX"
SYNERGIE FAMILY,509340790,2008-11-26,SYNERGIE FAMILY,Non disponible,94.99Z,41,ETI,A,"AVENUE ARISTIDE BRIAND, 68200 MULHOUSE"
SYNHELIX,848917373,2019-02-27,UNIVERCELLS FRANCE,Non disponible,72.19Z,12,PME,A,"3 RUE PIERRE FONTAINE, 91000 EVRY-COURCOURONNES"
SYNOVO GROUP,790710735,2013-01-16,SYNOVO GROUP,Non disponible,58.29C,21,PME,A,"8 RUE SCHERTZ, 67100 STRASBOURG"
SYNTHESIS AI,385259221,1992-10-01,SYNTHESIS,Non disponible,85.59A,01,PME,A,"65 BOULEVARD DE COURCELLES, 75008 PARIS"
SYNTONY SAS,809830011,2015-03-02,SYNTONY,Non disponible,26.51A,21,PME,A,"3 RUE GEOFFROY-MARIE, 75009 PARIS"
SÉZANE,488846007,2006-01-23,SEZANE,Non disponible,68.20B,Non disponible,Non disponible,C,"26 RUE JEAN VIMONT VICARY, 02170 LE NOUVION-EN-THIERACHE"
SÊMEIA,829055854,2017-04-12,SEMEIA,Non disponible,62.01Z,12,PME,A,"31 ALLEES JULES GUESDE, 31000 TOULOUSE"
TABMO,795236868,2013-09-05,HAWK,Non disponible,73.12Z,21,ETI,A,"97 RUE DE FREYR, 34000 MONTPELLIER"
TACTICAL ADVENTURES,841226319,2018-07-12,TACTICAL ADVENTURES,Non disponible,58.21Z,12,PME,A,"20 RUE STE CROIX BRETONNERIE, 75004 PARIS 04"
TAGPAY,484939038,2005-10-17,SKALEET,Non disponible,62.01Z,21,PME,A,"150 ROUTE DE LA REINE, 92100 BOULOGNE-BILLANCOURT"
TAIPRO ENGINEERING,833453061,2017-10-27,TAIPRO ENGINEERING,Non disponible,71.12B,Non disponible,PME,A,"151 RUE DES ORMES,"
TAKE A DESK,828577593,2017-03-20,TAKE A DESK  TAD,Non disponible,70.22Z,03,PME,A,"103 ROUTE DE VANNES, 44800 SAINT-HERBLAIN"
TAKE[AIR],905022596,2021-11-04,TAKE AIR,Non disponible,74.90B,03,PME,A,"8 IMP LADURANTIE, 31320 REBIGUE"
TALE OF DATA,802068858,2014-04-24,TALE OF DATA,Non disponible,58.29C,01,PME,A,"57 RUE MAURICE BOKANOWSKI, 92600 ASNIERES-SUR-SEINE"
TALENT.IO,810131771,2015-03-10,TALENT CLUB,Non disponible,63.11Z,22,PME,A,"13 RUE D'UZES, 75002 PARIS"
TALENTODAY,750029373,2012-02-17,YOUTH & COMPANIES,Non disponible,58.29C,02,PME,A,"121 AVENUE DES CHAMPS ELYSEES, 75008 PARIS"
TALKR.AI,922465950,2022-12-15,TALKR,Non disponible,62.02A,Non disponible,PME,A,"55 AVENUE MARCEAU, 75016 PARIS"
TALLANO TECHNOLOGIE,753991728,2012-09-05,TALLANO TECHNOLOGIES,Non disponible,71.12B,11,PME,A,"24 RUE JEAN GOUJON, 75008 PARIS"
TALLANO TECHNOLOGIES,753991728,2012-09-05,TALLANO TECHNOLOGIES,Non disponible,71.12B,11,PME,A,"24 RUE JEAN GOUJON, 75008 PARIS"
TALLYOS FRANCE,812502201,2015-07-06,TALLYOS FRANCE,Non disponible,62.01Z,03,PME,A,"850 RUE DU PRE LE LOUP, 57280 HAUCONCOURT"
TAMASHARE,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
