Nom,Lien,Description,Catégories,Website,LinkedIn,Adresse,Logo
DuoBrush,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nYHoyIAG,"Brush thoroughly in just 20 seconds with Y-Brush (Oral Care, Dental Care) Fast and effective plaque removal for that dentist-clean feeling, thanks to simultaneous brushing. Discover our New Generation of 20-Second Toothbrushes, the Only Toothbrush Clinically Proven to be 2x More Efficient Than the Leading Sonic Toothbrush Brand.","Lifestyle, Retail/E-Commerce, Startups",https://y-brush.co/,https://www.linkedin.com/company/y-brush/posts/?feedView=all&viewAsMember=true,"34 rue Marietton LYON, AL 69009
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nYHoyIAG.png
Dyslexic Screen,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000mvnXYIAY,"Lili for life intelligent lighting provides children and adults with dyslexia with unrivalled comfort when it comes to reading and understanding. The brightness emanating from the light can be adjusted to suit the user, naturally reorganising the letters. At home, at school, at the office… Lili accompanies its users wherever they need it!","Accessibility, Digital Health, Education Tech, Enterprise, Startups",https://www.liliforlife.com/en/,https://www.facebook.com/p/Lili-for-Life-100064154137913/,"107 ALLÉE FRANCOIS MITTERAND VILLAGE BY CA ROUEN, - 76100
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000mvnXYIAY.jpg
ecb-sensors,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp000002EWtJIAW,"ECB-Sensors by ORIOMA designs and manufactures ultra-low-power sensors for IOT, smart-building and surveillance.","Artificial Intelligence, IoT/Sensors, Smart Cities, Startups, Sustainability",https://www.ecb-sensors.com/,https://www.linkedin.com/company/orioma,"9 rue du rocher de Lorzier Moirans, Aura 38430
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp000002EWtJIAW.png
EISOX,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001UbT07QAF,"35% energy savings ! Thanks to the autonomous generation of room-by-room schedules, the Eisox multicapteur learns, predicts, and adjusts the operation of each building equipment to effectively reduce consumption, without compromise. It is a scalable and industrializable solution, ensuring consistent quality for 10, 100, or 1,000 buildings","Artificial Intelligence, Energy Transition, IoT/Sensors, Smart Cities, Startups",https://www.eisox.com/,https://twitter.com/EisoxCompany,"3 rue Alexandre Fleming Angers, - 49066
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/0013A00001UbT07QAF.png
ELHYTE,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nkMkZIAU,"We produce electric construction equipments such as excavators with a swappable battery. Thanks to our technologies, the energy transition for off-road machines is as simple as using a cordless drill. Our portfolio of worlwide patents cover all the construction equipement from small (2 tons) to big 50 tons excavator or loader machines.","Energy Transition, Startups, Sustainability, Vehicle Tech and Advanced Mobility",https://elhyte-energies.com/,https://www.facebook.com/people/Elhyte/61570005584085/,"chemin de chareyziat 0683971004 VIRIAT, - 01440
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nkMkZIAU.jpg
Elioz,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V000046QImBQAW,"Elioz, the brand created by IVs, specializes in enhancing accessibility for the deaf and hard-of-hearing. Elioz offers innovative, tailored communication services designed for businesses and local authorities seeking to streamline interactions with individuals who are deaf or hard of hearing.","Accessibility, Artificial Intelligence, Education Tech, Metaverse, Smart Home and Appliances",https://www.ives.fr/,https://www.linkedin.com/company/iv-s---interactivity-video-and-systems/mycompany/?viewAsMember=true,"Ivès/Elioz 1080 chemin de la croix verte Montbonnot, Isèr 38330
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/0014V000046QImBQAW.png
EMOVA,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp000002Qc8aIAC,"EMOVA is the 1st Virtual Try-on BtoB solution based on your realistic digital twin for Fashion and Luxury Industry around the head and the hand for products such as Cosmetics, watchmaking, Glasses, Accessories, Haircut... commercialized in SaaS model.","AR/VR/XR, Artificial Intelligence, Beauty Tech, Retail/E-Commerce, Startups",https://www.emova.me/,https://twitter.com/emova_me,"1137A, avenue des Champs Blancs Cesson-Sevigne, 35510
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp000002Qc8aIAC.jpg
Enchanted Tools,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003wafSoQAI,"Enchanted Tools has created The Mirokaï, logistics robots designed for social environments: assistants that move objects and are designed to be in contact with end-users. Mirokaï are prototypes characterized by radical approaches: Anime-inspired design, standardized handles and a rolling globe that allows free mobility.","Artificial Intelligence, Digital Health, Robotics, Smart Cities",https://enchanted.tools/,https://twitter.com/EnchantedTools,"18 rue de la Fontaine au Roi Paris, 75011
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/0014V00003wafSoQAI.png
ENTROPY,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nYBVjIAO,"Entropy creates predictive AI solutions for on-demand transportation services. Everyday, it provides operators in advance how many, when and where the users will be. It helps to: optimize fleet positioning, increase the matching between the user demand and the service, reduce carbon footprint.","Artificial Intelligence, Food Tech, Smart Cities, Startups, Vehicle Tech and Advanced Mobility",https://entropy.sc/fr/,https://www.linkedin.com/company/entropy-sc/posts/?feedView=all,"35 RUE DES CHANTIERS VERSAILLES, - 78000
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nYBVjIAO.png
ePaaS.io,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nYDtAIAW,"ePaas.io stands out for its ability to design and implement innovative solutions for the distribution of digital goods (e-sim, gift vouchers, gift cards, etc.). Our mission is clear: to enable both SMEs and large retail companies to access or enhance their offerings with eproducts.","Marketing and Advertising, Retail/E-Commerce, Startups, Travel and Tourism",https://epaas.io/,https://www.linkedin.com/company/epaas-io,"12 RUE DE MALZVILLE C/O PRAGMA DOMMARTEMONT, - 54130
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nYDtAIAW.png
EPSEED,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nCt0IIAS,"Epseed revolutionizes remote work security with Seed, a smart USB device that creates isolated workspaces on any computer. It combines enterprise-grade security with powerful HR management tools, helping companies protect sensitive data while monitoring employee wellbeing and productivity in remote environments.","Accessories, Cybersecurity, Digital Health, Enterprise, Home Entertainment and Office Hardware",https://epseed.com/,https://www.linkedin.com/company/epseed/,"13 IMPASSE DES CLEMENTINIERS CAGNES-SUR-MER, - 06800
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nCt0IIAS.png
Ethiqais,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nDjsmIAC,"ETHIQAIS is a french start-up specialized in the development of an intelligent plateform to accelerate compliance for AI systems. Our mission is to enable companies to use and develop responsible AI effectively, by ensuring their AI systems meet current and upcoming ethical and regulatory standards.","Artificial Intelligence, Enterprise",https://ethiqais.com/,https://www.linkedin.com/company/ethiqais,"11 rue de l'academie Strasbourg, - 67000
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nDjsmIAC.png
Euratechnologies,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001egdHHQAY,"EuraTechnologies is one of Europe's largest startup incubators and accelerators. Our mission is to support the development of digital companies and entrepreneurs, from idea to project and up to international deployment, while trying to improve the social and ecological environment around us to to design a better future.",,Non disponible,Non disponible,"165 Avenue de Bretagne Lille, 59000
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/0013A00001egdHHQAY.jpg
Euro Communication Equipement Sas,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001KYVJCAA5,"SuperTooth became one of the major players for handsfree solutions for car and motorbike, and later Bluetooth® headphones and speakers. More than 10 millions SuperTooth devices have been sold all around the world. The story continues with SuperTooth Roamee, Bluetooth intercom for bicycle helmet.","Accessories, Audio, Enterprise, Sourcing and Manufacturing, Sustainability",https://www.supertooth.net/,https://www.facebook.com/supertoothaudio/,"CHEMIN DE TRABENET +33612592455 NEBIAS, - 11500
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/0013000001KYVJCAA5.jpg
EuroSX,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nCjoPIAS,"EuroSX is a blockchain-based market infrastructure for companies to issue securities natively on the blockchain, investors to subscribe or trade those securities on primary and secondary markets, and financial players to advise, provide or distribute those services to their customers.","Blockchain, Fintech",https://eurosx.com/,https://www.linkedin.com/company/eurosx,"31, rue du Bain-aux-Plantes Strasbourg, - 67000
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nCjoPIAS.png
EVERGLOW,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nX9TLIA0,"Find custom running, walking and riding routes in seconds ! Looking for routes adapted to your level or your desires ? Around your home to vary your itineraries, or on vacation when you don’t know the area ? Download RunnrZ and discover an infinite number of available routes in just a few seconds !","Fitness, Lifestyle, Sports, Startups, Travel and Tourism",https://www.runnrz.app/,https://twitter.com/RunnrZ_App,"4 Impasse des Brandes Marsac sur l'Isle, - 24430
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nX9TLIA0.PNG
EWATTCH,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp000002ZCy1IAG,"Ewattch specializes in energy management and building optimization with its IoT platform, smart LoRaWAN sensors, and ScanToCloud solution. Designed for sectors like hospitality, healthcare, and retail, our solutions enable real-time energy control, compliance, and up to 40% cost savings, creating smart, sustainable buildings.","Energy Transition, Energy/Power, IoT/Sensors, Smart Cities, Sustainability",https://www.ewattch.com/,https://www.linkedin.com/company/ewattch/,"13 rue Maurice Jeandon Saint Die Des Vosges, 88100
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp000002ZCy1IAG.png
Fair Vision,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00002JHS6fQAH,"FAIR VISION designs, develops and integrates software solutions, autonomous video capture and management equipment for the world of sports. Featuring FAIR VISION's latest AI algorithms, ARGOS is a portable video capture solution providing automatically live 4K tactical plan to FIFA standards as well as associated performance data.","Artificial Intelligence, Sports, Startups, Streaming, Video",https://www.fairvision.fr/en/,https://www.linkedin.com/company/30138328,"455 Promenade des Anglais Immeuble Arenice NICE, - 06200
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/0014V00002JHS6fQAH.png
Fantastic Oven,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000n1SVvIAM,"Made in France quality, Eco-friendly, Innovation, Trust. Distributed in +20 countries, France Origin Guaranteed, 100,000 pcs sold : Fnac-Darty (FR), Bic Camera (JP), Alltron (CH), Yuppiechef (ZA) etc. Specialized in premium eco-compact home appliances","Food Tech, IoT/Sensors, Smart Home and Appliances, Sourcing and Manufacturing, Sustainability",https://daan.tech/,https://www.linkedin.com/company/daan-technologies/,"348 Impasse Paul Louis Dagnet, ZA du Mortier ZA du Mortier Est Cugand, - 85610
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000n1SVvIAM.png
FEST Technology Inc.,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000gQl6LIAS,"In a world where every festival creates its own app, FEST is breaking new ground by bringing thousands of festivals together under one mobile app. We created a comprehensive solution that benefits both festival-goers and organizers by offering a powerful digital tool that enhances communication, visibility, and engagement.","Artificial Intelligence, Content and EntertaInment, Marketing and Advertising, Startups, Travel and Tourism",https://festapp.io/,https://www.instagram.com/fest_app,"13 T Rue Roche Bonnet Chamalières, - 63400
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000gQl6LIAS.png
French Tech / Region Nouvelle-Aquitaine,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001SNSa8QAH,Non disponible,,https://www.nouvelle-aquitaine.cci.fr/,Non disponible,"2 place de la Bourse - CS 91942 Bordeaux Cedex, 33050
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/0013A00001SNSa8QAH.png
G-LYTE,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000mvpF5IAI,"G-LYTE has developed a photovoltaic cell for low light environments (indoor) that outperforms traditional technologies by a factor 3 while enhancing the lifespan, making it the perfect solution to integrate into your electronic device to obtain an energy autonomous system.","Energy Transition, Energy/Power, IoT/Sensors, Smart Home and Appliances, Sustainability",https://www.g-lyte.com/,Non disponible,"5 Rue du Terrain Pont de Metz, somm 80480
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000mvpF5IAI.jpg
GLIB,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000n1RWdIAM,At GLIB our mission is to assist you throughout your travel. This is possible through our mobile application integrating an AI that will keep you posted on anything that may affect your journey.,"Accessibility, Artificial Intelligence, Startups, Sustainability, Travel and Tourism",https://www.glib.fr/,https://www.facebook.com/GlibApp,"1 RUE DU 8 MAI 1945 EPINAY SUR SEINE, - 93800
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000n1RWdIAM.png
GreenWaves Technologies,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001MemX8AAJ,"GreenWaves is a fabless semiconductor company founded in 2014 and based in Grenoble, France. We design and market ultra low power processors for energy constrained products such as hearables, wearables, IoT & medical monitoring products.","Artificial Intelligence, Audio, Gaming and Esports, IoT/Sensors, Smart Home and Appliances",https://greenwaves-technologies.com/,https://www.linkedin.com/company/greenwaves-technologies,"28 cours Jean Jaures Grenoble, 38000, 38000
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/0013000001MemX8AAJ.png
GYDTECH,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000gQV6SIAW,"GYD Tech transforms the beauty industry with cutting-edge AI. Our GYD Beauty technology delivers personalized diagnostics , tailored product recommendations and advises for skincare, haircare, and wellness. GYD HAIR - GYD BEAUTY- MY CHAT ASSIST- GYD GENERATIVE- GYD DATAS - GYD SALES SUPPORT","Artificial Intelligence, Beauty Tech, Marketing and Advertising, Retail/E-Commerce, Startups",https://gydtech.io/,http://linkedin.com/in/fr%C3%A9d%C3%A9ric-ifergan-69972544,"59 CHEMIN DU MOULIN CARRON DARDILLY, FL 69570
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000gQV6SIAW.png
HANDI EXCELLEER,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nEYvbIAG,"Handi Exceller was born from a common desire to improve learning solutions for people with visual impairments. For this, the company has developed fun, modern and autonomous solutions: BR’EYE, an interactive box, and Marble, learning software. Today, she positions herself as an education expert.","Accessibility, Education Tech, Startups",https://handiexceller.com/fr,https://www.facebook.com/handiexceller/,"2 rue jacques villermaux NANCY, - 54000
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nEYvbIAG.png
HawAI.tech,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000oKp4nIAC,"HawAI.tech develops an AI-Copilot for seamless drone operations, which is a hybrid AI-driven platform for mission planning, real-time coordination, and sensor intelligence. Designed for drones (UAVs), USVs, and UGVs, it enables efficient vehicle-agnostic multi-modal operations in dynamic environment.","Artificial Intelligence, Drones, Robotics, Vehicle Tech and Advanced Mobility",https://marketing.hawaitech.com/product,https://www.linkedin.com/company/hawai-tech/,"7, rue Antoine Polotti Grenoble, - 38000
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000oKp4nIAC.png
HOLOPRODS,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000ikdpwIAA,The agency that revolutionizes your physical spaces Make your physical spaces attractive with the Holoprods solution. Equip yourself with a customized interactive holographic kiosk to serve your customers.,"AR/VR/XR, Marketing and Advertising",https://www.holoprods.com/,https://www.linkedin.com/company/holoprods/,"153 chemin de la carrière 0651778406 CRAPONNE, AE 69290
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000ikdpwIAA.jpg
Hopcast,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nX3eUIAS,"Hopcast is a cutting-edge software solution that revolutionizes content sharing on mobile devices. By leveraging Device-to-Device communication, Hopcast enables direct, energy-efficient, and cost-effective data transfers, reducing reliance on centralized servers and cellular networks.",,https://hopcast.fr/,https://x.com/hopcast_io,"27 Rue Étienne Marcel La Garenne Colombes, - 92250
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nX3eUIAS.jpg
HOPE,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nr8fxIAA,"HOPE’s first solution, phibra, offers a unique way to simplify breast cancer prevention through early diagnosis with care, simplicity & comfort. This tool will allow regular paced self-checks & re-insuring connexion with health professionals.","Artificial Intelligence, Digital Health, IoT/Sensors, Startups",http://www.hope-for-life.eu/,Non disponible,"19 rue de la Presse Saint-Etienne, - 42000
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nr8fxIAA.jpg
Idyllic Technology,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V000046QIfoQAG,"The inventor of radio frequency barcodes - Startup founded in 2017 - Located in Valence (France) - World leader in chipless technology - Spin-off from the LCIS Laboratory (Grenoble Alpes University, France) - A team of world-class researchers combined with industry specialists.","IoT/Sensors, Retail/E-Commerce, Smart Cities, Startups, Supply and Logistics",https://www.idyllic.technology/,https://twitter.com/IdyllicTechno,"Idyllic Technology Valence, Drom F26000
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/0014V000046QIfoQAG.png
INKAN.LINK,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000ikeypIAA,"Inkan.link builds deepfake-proof digital services to protect businesses from fraud. Our mobile app Sealfie secures financial transactions through blockchain-based multi-source certifications. Our patented technology enables secure authority delegation, protecting enterprises from Business Email Compromise and AI-powered identity theft.","Blockchain, Cybersecurity, Enterprise, Fintech",https://inkan.link/en,https://sealf.ie/en,"41 Rue Victor Hugo 0651036372 Crolles, - 69002
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000ikeypIAA.png
International Boost,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001P5cfgAAB,Non disponible,,https://www.internationalboost.com/home/,Non disponible,"374 rue de Vaugirard Paris, 75015
France",Non disponible
Intuition Robotique & Technologies,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp000002Q63pIAC,"ILO is an educational robot that makes teaching and learning STEM fun and interactive. It can be adapted to the level of the student, from elementary school to high school. What's more, ILO is built to last. It's easy to assemble and repair. It's the ideal tool for progressing in programming and robotics!","3D Printing, Education Tech, Robotics, Startups",https://www.ilorobot.com/,https://www.linkedin.com/company/ilo-robot/,"125 Avenue Aristide Briand Rennes, MO 35000
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp000002Q63pIAC.png
IROC,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nEOY0IAO,"IROC is an international, AI-powered platform designed for scientists to centralize research and optimize their daily tasks: literature review, notes, data analysis and writing.","Artificial Intelligence, Cloud Computing, Digital Health, Education Tech, Startups",https://www.iroc.app/,Non disponible,"12 rue du général Delestraint Paris, - 75016
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nEOY0IAO.png
KAPSYS,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nEHepIAG,"KAPSYS is a French company designing digital devices for mobility, orientation, and communication aids for visually impaired individuals. Our products simplify daily life by combining innovation, advanced features, and accessibility to offer an exceptional user experience, empowering greater independence and inclusion.",Digital Health,https://www.kapsys.com/,https://www.facebook.com/kapsys.fr,"694 Avenue Maurice Donat Parc Haute Technologie Mougins, - 06250
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nEHepIAG.png
Kumulus,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000mtuigIAA,"Kumulus Water provides sustainable, atmospheric water generators that turn air into premium-quality drinking water. Focused on B2B clients in Tunisia, France, Spain, and Morocco, Kumulus offers a cost-effective, eco-friendly solution, reducing plastic, logistics, and CO2 emissions.","Startups, Sustainability",https://kumuluswater.com/,https://www.facebook.com/kumulus.water,"5 avenue du Général de Gaulle 94160 Saint-Mande, Val de Marne Saint-Mandé, - 94160
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000mtuigIAA.png
La Touche Musicale,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nCYPyIAO,"La Touche Musicale is a digital music innovation company. We create tools for musicians, including PianoConvert, a groundbreaking web app that transforms piano pieces into digital sheet music in minutes with exceptional accuracy, powered by advanced artificial intelligence.","Artificial Intelligence, Audio, Content and EntertaInment, Education Tech, Startups",https://pianoconvert.latouchemusicale.com/,https://twitter.com/Touche_Musicale,"32 boulevard du Port CERGY, - 95000
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nCYPyIAO.png
Laclarée,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000gQnuXIAS,"Laclarée develops innovative adaptive eyeglasses to help presbyopic people retrieve vision comfort. Our autofocal technology embedded into designer's eyeframe results in a pair of eyeglasses with a large field of vision, high optical quality, natural posture and response time even for high presbyopes.","Digital Health, IoT/Sensors, Lifestyle, Startups",https://www.laclaree-vision.com/,https://www.linkedin.com/company/laclaree/,"11 avenue Albert Einstein Villeurbanne, Rhôn 69100
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000gQnuXIAS.jpg
LAYER®Vault,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nCc71IAC,"Dracula Technologies, an industrial leader in sustainable energy for low-power devices, offers LAYER® and LAYER®Vault, inkjet-printed solutions replacing traditional batteries. Our Green Micropower Factory produces 150 million cm² of OPV devices annually, transforming the electronics industry.","Energy Transition, Energy/Power, IoT/Sensors, Smart Home and Appliances, Sustainability",https://dracula-technologies.com/,https://www.linkedin.com/company/dracula-technologies,"2 Place Edmond Regnault Valence, - 26000
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nCc71IAC.png
Ledscape,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nCsq1IAC,Non disponible,,https://ledscape.io/,Non disponible,"45 avenue du président JFK Biarritz, - 64200
France",Non disponible
LIFE-01,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000gQYp5IAG,"Specially designed for your health, Element® purifies your air and guarantees the elimination of 100% of critical contaminants harmful to your well-being. You no longer breathe in pollutants present in the air. With its app, you can measure the air quality in your home in real time.","IoT/Sensors, Lifestyle, Smart Cities, Smart Home and Appliances, Startups",https://www.life-01.com/,https://x.com/Life01QAI,"11 rue René Camphin Fontaine, - 38600
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000gQYp5IAG.jpg
Live Vendor,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nk6CjIAI,"Transform your website and in-store brand corners into business hubs! With the Live Vendor action button, customers ask questions with one click, connecting instantly to your sales reps via live video. In stores, a QR code offers the same direct, personalized interaction, boosting conversions both online and in partner locations.",Retail/E-Commerce,https://www.live-vendor.com/,https://www.linkedin.com/company/livevendor,"54 CHEMIN du Moulin 69400 Porte des Pierres D +33783048725 Porte des Pierres Dorées, France, 69400
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nk6CjIAI.png
Luchrome,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nYCgIIAW,"Luchrome is an unique manufacturer of new type of E-Paper display. Based on a flexible substrate, this display is the most-energy efficient and cost-effective available on the market. This product is unique by its flexibility, thickness and environmental impact (no metal, recycable).","Energy/Power, IoT/Sensors, Sourcing and Manufacturing, Startups, Sustainability",https://www.luchrome.com/,https://www.linkedin.com/company/luchrome/,"79 rue de Saint-Genès Bordeaux, - 33000
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nYCgIIAW.jpg
M&Wine,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000gQhM7IAK,Non disponible,"AgTech, Artificial Intelligence, Digital Health, Food Tech, Sustainability",https://mandwine.com/,Non disponible,"305 rue des Fours Fontaines Saint Martin, - 69270
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000gQhM7IAK.png
MACA,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000ohUmCIAU,"MACA has created S Eleven (S11), the first hydrogen powered flying racing car, made out of eco-friendly and sustainable materials. The company relies on Competitive Racing to drive the technology forward and accelerate the social acceptance and adoption of future flying cars by racing fans and consumers.","Drones, Sports, Startups, Sustainability, Vehicle Tech and Advanced Mobility",https://macaflight.com/,https://x.com/macaflight,"Technopole Arbois-Méditerranée Aix-en-Provence, - 13100
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000ohUmCIAU.jpg
MARYLINK,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp000003i5DcIAI,"Leverage the power of generative AI to innovate more effectively and swiftly. MARYLINK offers augmented collaborative platforms that significantly enhance the innovation potential of forward-thinking organizations. Using Generative AI : GPT, Claude, Mistral, and 70 others, MARYLINK boosts collective intelligence like never before!","Artificial Intelligence, Cloud Computing, Startups",https://marylink.io/,https://www.linkedin.com/company/87239078/,"2A chemin de la dame Montelimar, Drom 26200
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp000003i5DcIAI.png
MIMO Detect,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V000046QIbwQAG,"With Trace Pro's advanced technology and fast scanning capability, it helps optimize pipeline location operations, reducing time and associated costs. You benefit from increased efficiency, save valuable time and you improve the productivity of any construction and/or excavation project.","AR/VR/XR, Artificial Intelligence, Construction Tech, IoT/Sensors, Robotics",https://www.mimodetect.com/,https://www.linkedin.com/company/80672059,"2 Rue Roger Planchon Vénissieux, Auve 69200
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/0014V000046QIbwQAG.jpg
Mission InnoTech,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001TrQMoQAN,The Mission InnoTech - CES 2025 Pavilion welcomes French Startups. -N°61100 - WASHiN is a company created in 2019 that operates laundromats in communities and in retail. -N° 61102 - DT Solution develops and manufactures chemical-free disinfection systems based on technology.,"Marketing and Advertising, Retail/E-Commerce, Startups, Travel and Tourism",https://www.missioninnotech.fr/,https://www.linkedin.com/company/mission-innotech-ces-2025/?viewAsMember=true,"283 Chemin de la Paix Marmande, 47200
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/0013A00001TrQMoQAN.png
