name,description,website,city,development_level,looking_for,fundraising,link,Logo,Field_1,Field_2,Field_3
Commissariat Général au Développement Durable,"The ""Greentech Innovation"" initiative is driven by Ecolab, the innovation laboratory for ecological transition of the General Commission for Sustainable Development (CGDD), within the French Ministry of Ecological Transition and Territorial Cohesion. It acts as a catalyst for French start-ups/SMEs committed across the entire spectrum of the ecological transition (circular economy, renewable energies, sustainable transports, sustainable finance...), encouraging positive, measurable impact on the environment. Nearly 300 companies have joined the Greentech Innovation certification. This certification is obtained via an extensive analysis conducted by industry experts, at the end of which the State plays the role of a""de-risker"". As they receive the certification, Greentech Innovation companies are supported in their business developpement through: (1) visibility and commercial leads, and especially towards local public authorities; (2) a welcome kit offering digital tools.",https://vivatechnology.com/partners/greentechinnovation.fr/,,,,,https://vivatechnology.com/partners/commissariat-general-au-developpement-durable,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/5a5fb57e-e162-4702-8a9c-ab4fdb3138581,Climate Tech,,
Commown,"Commown is a provider of eco-designed electronic products and services to combat programmed obsolescence. Sales structurally push manufacturers to encourage the renewal of equipment. In contrast, Commown offers customers a range of products based on rental with services and without an option to buy. To ensure the long term, the cooperative selects the most eco-designed devices possible, such as Fairphones. Customers not only get a handset, but also a range of services, including support in the event of breakdowns or breakages, user assistance and battery replacement if required. Renting allows Commown to pool spare parts. Nothing gets lost! The subscription price decreases over time, encouraging users to keep the same device. Finally, as the cooperative remains the owner of the equipment, it is also responsible for recycling!",https://vivatechnology.com/partners/commown.coop,STRASBOURG,,,450 000€,https://vivatechnology.com/partners/commown,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/55f4bac7-83a7-421b-9313-5db93fc127811,Climate Tech,,
Commute Zen (WeavAir company),Advanced sensor network & software solution for improving comfort & wellbeing,https://vivatechnology.com/partners/Weavair.com,SINGAPORE,,"FUNDING, TALENTS",,https://vivatechnology.com/partners/commute-zen-weavair-company,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/1fa6e20f-2b52-431f-85c3-1130d9a3b0281,Artificial Intelligence,B2B Services,Mobility & Smart City
ComplyMarket,"ComplyMarket is a Total Compliance Solutions provider, using the power of AI to identify compliance requirements and perform risk assessments. Our expertise extends to the development of the first-ever open-source software designed specifically for supply chain management. This groundbreaking tool enables the efficient collection of compliance and sustainability information from suppliers, empowering our clients to uphold the highest standards of regulatory compliance and environmental stewardship.",https://vivatechnology.com/partners/www.complymarket.com,MUNICH,,"FUNDING, TALENTS",,https://vivatechnology.com/partners/complymarket,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/d0cec2c4-6378-4195-9a54-442232d530da41,Artificial Intelligence,B2B Services,"Fintech, Insurance & Legal"
Compredict,"Enable the future of mobility today, with Virtual Sensors COMPREDICT Virtual Sensors utilize data that is readily available from hardware sensors in today‘s vehicles. By combining expertise in data-science and automotive durability engineering, we intelligently link this information to provide cutting-edge algorithms that provide extensive health and usage insights for vehicle development and series-production vehicles. Thanks to our Virtual Sensor Platform, we are able to bring Virtual Sensors into any automotive environment with ease.  Our Virtual Sensors enable:  - Hardware Replacement  - Additional Measurement Capabilities  - Health & Usage Monitoring   Virtual Sensors will be an essential, business-critical layer in the Software-Defined Vehicle stack of new vehicle generations to reduce costs and enable revenue-generating digital services. With a field-proven, scalable technology and strong market traction, COMPREDICT aims to be the industry standard in automotive.",https://compredict.ai/,DARMSTADT,,"SERIE A, SEED",,https://vivatechnology.com/partners/compredict,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/c501ff8e-5645-4fcb-931c-a2af4a8b65771,Artificial Intelligence,B2B Services,Mobility & Smart City
Compusave,"Compusave is a Call Center Solutions editing company that specializes in revolutionizing the customer experience for companies. With 15 years of experience, we have successfully assisted hundreds of companies in their gradual transition towards a digital transformation through multichannel Customer Relationship Management Solutions. Our team of seasoned experts in customer relationships is dedicated to offering and tailoring custom strategies and tools to meet the unique requirements of our users, ensuring their complete satisfaction. We Edit, We Digitize, We Facilitate.",https://compusave.dz/,ALGIERS,,"NONE, FUNDING",,https://vivatechnology.com/partners/compusave,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/a7e189cd-2474-48ca-a180-01f7132b21d41,Artificial Intelligence,B2B Services,Data Management & CRM
Concours Mines-Télécom,"The Concours Mines-Télécom is a competitive entrance examination for engineering schools, giving access to 18 leading public schools run by the Institut Mines-Télécom and its partners. These also offer admission in the first and second years. In 2024, the Mines-Télécom competitive entrance examination is one of the largest in terms of the number of places offered, with almost 1,870 places in one of the 18 grandes écoles spread across France. It covers the digital and energy transitions, with all the dimensions of sustainable development, industry and high stakes. Choosing the Mines-Télécom competitive entrance exam means gaining access to the fields of the future that will offer you all the expertise you need: Digital, Industry of the Future, Energy, Environment and Maritime, New Materials, Nanotechnologies and Photonics, Health, Defense and Security, Transport and Mobility, Sustainable Construction and Urban Planning.",https://www.concours-mines-telecom.fr/,EVRY-COURCOURONNES,STABLE BUSINESS,,,https://vivatechnology.com/partners/concours-mines-telecom,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/42b55bcf-c942-4aa2-bf36-d29a199453b31,Diversity & Inclusion,Education,
Concree,Concree is a company specializing in the development and management of digital and/or physical solutions and programs to support entrepreneurs from ideation to product market fit.,https://concree.com/,DAKAR,GROWTH & SCALE,,,https://vivatechnology.com/partners/concree,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/3323891d-28cd-4efd-b377-9ee9883dd2371,Artificial Intelligence,B2B Services,Data Management & CRM
Configreality Technology Limited,"YOMOV is an location-based social VR experience distribution brand, a hidden door to a magical virtual world. We believe that “Together, Happier"". With ware-house scale multiplayer VR experiences, you become the protagonist of a story and experience a fantasy adventure with your friends. Explore the story world with your feet and senses and experience emotional moments.",https://vivatechnology.com/partners/configreality.com,SHENZHEN,,,576 500€,https://vivatechnology.com/partners/configreality-technology-limited,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/ddea095b-ff56-4ac7-a479-b7fe8d38732a1,Artificial Intelligence,"Web3, Blockchain, Crypto & NFT",XR & Metaverse
Connected Cycle,"Connected Cycle provides connectivity, location tracking, telematics & bike intelligence data to micro-mobility fleets operators as well as bike brands with an end-to-end platform. Our product suite seamlessly integrates hardware, embedded software, APIs, web portal and mobile apps to enhance productivity and elevate the experience of bike brands, fleet managers and riders. Serving bike sharing, bike rental, cycle logistics and bike manufacturers across Europe and North America, Connected Cycle has been pioneering innovation in the micromobility market since 2013.",https://vivatechnology.com/partners/www.connectedcycle.com,PARIS,GROWTH & SCALE,,,https://vivatechnology.com/partners/connected-cycle,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/80d2009b-ef88-4ba0-a24c-6c62eb10e7211,5G & Connectivity,B2B Services,Mobility & Smart City
Connectedrealities,"Our value offer lies in our specialisation in providing bespoke XR & Metaverse solutions tailored specifically for large enterprises. Collaborating closely with our visionary clients, we aim to lead the way in the Metaverse. We craft immersive VR applications designed for training, sales, and marketing purposes. With a track record of documented successes in partnering with major corporations, we have established ourselves as trusted partners across a diverse range of industries for example, telecommunications, banking, pharmaceuticals, logistics, industry, FMCG . Created by Connected Realities, the Orange Business VR Metaverse app is a game-changer in the market - offering an innovative approach to promoting, demonstrating, and educating clients about advanced ICT services. This groundbreaking initiative marks the world's first use of such technology to promote Orange 5G solutions.",https://connectedrealities.eu/en/connected-realities-eng/,WARSZAWA,,,,https://vivatechnology.com/partners/connectedrealities,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/28c698e9-075e-4e9f-8e4e-4616e17e7f021,XR & Metaverse,,
Contents.com,"Founded in 2021, Contents.com offers an AI driven platform that enables businesses to effortlessly produce personalized, top-tier content at scale, enhancing digital presence, and fostering innovation. International brands such as Dolce & Gabbana, Porsche, Sainsbury's, and many others have already adopted our platforms. Join us in shaping the content management processes through our cutting-edge technology! The company now counts $26 million in funding and expands globally with offices in Milan, Madrid, and Paris. Contents.com redefines the landscape of AI-driven content orchestration, empowering your enterprise with unparalleled communication capabilities Leveraging advanced LLMs and sophisticated knowledge graphs, we enable the creation of deeply personalized, context-rich content that resonates with your audience. Our platform seamlessly integrates with your CMS and CRM systems, streamlining workflows and elevating content relevance.",https://contents.com/,MILAN,,,26M€,https://vivatechnology.com/partners/contentscom,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/40d92757-60fd-4327-a042-fd041da386021,Artificial Intelligence,Marketing & Advertising,Retail & E-commerce
Contentsquare,"Contentsquare is a leading digital experience analytics platform that empowers businesses to understand and optimize the user experience across web, mobile, and app platforms. Its AI-powered platform provides rich and contextual insight into customer behaviors, feelings and intent — at every touchpoint in their journey — enabling businesses to build empathy and create lasting impact. More than 1,300 leading brands use Contentsquare to grow their business, deliver more customer happiness and move with greater agility in a constantly changing world. Its insights are used to optimize the experience on over 1.3 million websites worldwide.",https://contentsquare.com/,PARIS,GROWTH & SCALE,,,https://vivatechnology.com/partners/contentsquare,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/68c6d21a-0b6b-467b-bf01-b51736e8d3fc1,Artificial Intelligence,Growth & Investment,Retail & E-commerce
Coomtech Ltd,"Coomtech is a decarbonisation technology developer that has created & patented a new method of drying bulk solids. The Coomtech Kinetic Energy Drying System is an energy-efficient drying method, which can cut your emissions down to as low as ZERO whilst using 75% less energy. Ideal for drying powders, granules, minerals and any materials that can be pneumatically conveyed. Our easy to implement patented bulk industrial materials drying technology offers greater flexible of performance, maintenance and plant specification. The system uses AI technology to adapt in real-time to improve the performance and efficiency of the process, and clients can build capacity to match their requirements at any given point by simply plugging in more modules.",https://vivatechnology.com/partners/www.coomtech.com,ADLINGTON,,,"SEED, SERIE A",https://vivatechnology.com/partners/coomtech-ltd,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/8f6a4278-7cca-4755-9e1e-ceb4636eb4ed1,Climate Tech,Energy,"Industry, Logistics & Supply Chain"
Coreod Space,"Coreod, at the forefront of digital healthcare solutions with a focus on mental well-being, presents the pioneering Virtual Reality (VR) headset empowered by artificial intelligence (AI)and based on more than 10 years of research in neuroscience. This groundbreaking technology provides companies and general public with a new outlook by digitalizing therapeutic approaches drawn from aerospace research, with the goal of improving mental health, strengthening resilience, and nurturing a positive workplace environment that prioritizes employee well-being as a corner stone of the organization..",https://coreodspace.com/,PARIS,,,250 000€,https://vivatechnology.com/partners/coreod-space,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/ad1a93c4-1d08-4ef3-bc9f-7ed1fef490391,Growth & Investment,HR & Future of Work,Healthcare & Wellness
Cortex Machina SRL,"Cortex Machina is pioneering the integration of Brain-Computer Interface (BCI) technology into everyday life, aiming to make interactions with technology as intuitive as thought itself. By merging advanced neurotech with artificial intelligence, we've created a plug-and-play system that interprets brain activity in real-time and seamlessly integrates into any platform, empowering users across all sectors with our main focus on healthcare. Whether for healthcare, research, entertainment or development of innovative applications, our technology offers a new level of immersion and efficiency, and is opening up a world of possibilities for enhanced human experiences with technology. We developed our own Brain to computer hardware system scientifically validated, our own software & AI models. Our system is able to perform real time interaction as static post processing analysis. Visit our Booth and Test it !",https://www.cortex-machina.com/,LASNE,,,310 000€,https://vivatechnology.com/partners/cortex-machina-srl,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/ae36caa3-8ad1-4608-8131-33405eb60f2f1,Education,Gaming & esports,Healthcare & Wellness
Cosmian,"Cosmian is revolutionizing Data Protection with its cutting-edge cryptographic tools enabling new horizons for the use of sensitive data. Post quantum encryption, confidential AI, confidential computing, access policies in cipher data, modern key management, searchable encryption : Cosmian is delivering the most advanced cyrptographic stack of the market with ready to deploy, high performance & interoperable tools Encrypt your data everywhere and at all times with Cosmian",https://cosmian.com/,PARIS,,,,https://vivatechnology.com/partners/cosmian,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/1e67e97b-0311-43f0-a994-c87761e2ede51,Artificial Intelligence,Cloud & Infrastructure,Cybersecurity
Cosmo Tech,"Cosmo Tech provides AI Simulation and digital twins for enterprise decision making. Decision makers use Cosmo Tech software, powered by goal-seeking simulations generated from a 360° twin of their organization to navigate through complexity and uncertainty. They can either test the impact of a disruption, a decision, or set target performance indicators to find the best path out of millions of possible futures. Leading companies from the manufacturing, automotive, energy, and transport sectors rely on Cosmo Tech’s combined predictive and prescriptive capabilities to anticipate what’s coming and confidently optimize operations, improve proafitability, build resilience and sustainability.",https://cosmotech.com/,LYON,GOING TO MARKET,,,https://vivatechnology.com/partners/cosmo-tech,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/e4e4dae9-a3e2-442b-9fa7-55b44675da351,Artificial Intelligence,Energy,"Industry, Logistics & Supply Chain"
Counterfake AI,"Counterfake: Your Strong Defense Against Counterfeit Products. Counterfeit products harm brand image and customer trust. But how to protect your brand without wasting hours? Counterfake's AI-supported solution is here! Counterfake scans all online selling platforms, detecting product listings related to your brand via AI-powered visual and textual analysis. It swiftly determines if listed products are counterfeit through AI-based analysis. Advanced AI examines over 40 parameters, detecting and evaluating signs of counterfeiting. Identified counterfeit listings are processed for removal through our automated legal procedures. Our fully automated and AI-supported system provides a seamless online brand protection experience for your brand, from counterfeit detection to legal actions. We are with you every step of the way. Ensure your brand's security with Counterfake. While you focus on your business, let us safeguard your brand.",https://counterfake.ai/,ISTANBUL,,,,https://vivatechnology.com/partners/counterfake-ai,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/711719b0-91de-4804-a543-4291c49b33291,Artificial Intelligence,"Luxury, Fashion & Cosmetics",Retail & E-commerce
Covoiturage,"La startup d'état “covoiturage.beta.gouv” a pour mission d'aider l'écosystème du covoiturage quotidien : les autorités Organisatrices de la mobilité, les employeurs et les plateformes de covoiturage à mettre en place de manière sécurisée des mesures d’incitation au covoiturage courte distance. Covoiturage.beta c'est : 1. un service tiers de confiance avec un registre qui collecte les preuves de covoiturage réalisé par les différentes plateformes, les données y sont normalisées, qualifiées et validées 2. des outils de visualisation de ces données notamment via un observatoire du covoiturage pour inciter les acteurs publics et privés à définir leur stratégie en faveur du covoiturage 3. des outils sur mesure pour accélérer et démultiplier la mise en place des dispositifs d'incitations financières au covoiturage par l'Etat (primes de 100€), les collectivités (campagnes d’incitations locales) et les employeurs (forfait mobilités durables)",https://covoiturage.beta.gouv.fr/,PUTEAUX,STABLE BUSINESS,,,https://vivatechnology.com/partners/covoiturage,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/e758458e-aaa8-46d8-a2d2-37106f09f7b31,Mobility & Smart City,,
Coyali,"Coyali is an application to simplify the use of smartphones for people who have difficulty with digital technology. It offers a more intuitive user experience so that everyone can use digital tools without constraint or frustration. Once installed, its interface adapts to each level of difficulty: display magnification, higher contrasts, personalized navigation options, contextual help and simplified instructions for easier navigation! Coyali also offers the possibility of requesting help remotely (via screen broadcast and reproduction of clicks)",https://coyali.com/,TROYES,GOING TO MARKET,,,https://vivatechnology.com/partners/coyali,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/8105c768-a8f7-4d9f-9672-82c97733676a1,B2B Services,Cloud & Infrastructure,Diversity & Inclusion
Craftsmen - Software Maestros.,"Leverage the power of Staff Augmentation and Team Extension with Craftsmen (www.craftsmensoftware.com) to supercharge your team with specialized expertise, on-demand staffing solutions, and achieve the flexibility to scale your workforce as needed, without having to hire or train new employees. With a deep understanding of Agile methodologies and hands-on experience with cutting-edge technologies, we offer unmatched expertise in the most popular cloud services from AWS, including nearly all Media Services available. Our team excels at utilizing various cloud-based AI Engines from AWS, GCP, Azure, IBM, and other leading cloud providers to develop innovative solutions. Our serverless architecture, powered by Lambda, Step Functions, Fargate, SNS, SQS, DynamoDB, Amazon EventBridge, and Amazon OpenSearch, handles millions of requests per second while ensuring scalability. We’re also adept at optimizing cloud storage, making it the most economical option, even with petabytes of data.",https://www.craftsmensoftware.com/,DHAKA,,,,https://vivatechnology.com/partners/craftsmen-software-maestros,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/b17cfe94-7153-4242-8445-6181dcab9c7f1,Artificial Intelligence,B2B Services,Cloud & Infrastructure
CrossCall,"CROSSCALL, a durable mobile telephony creator, offers tough, waterproof mobiles and smartphones with long battery lives. Cyril Vidal founded the company in 2009 to fill a gap in the market for specific uses and requirements, having seen this lack first-hand, and for which there was no specific equipment. The brand thus designs models that are perfectly suited to the hostile and unpredictable environments encountered by athletes and field professionals (water, rain, wind, humidity, dust, impacts, etc.), as well as a range of high-performance accessories. With over 4.5 million units sold, turnover of €115 million and already more than 20,000 points of sale, the French company, based in Aix-en-Provence, is continuing its development by moving upmarket with its mobiles, which are being increasingly recognised both in France and overseas for their quality and originality.",https://www.crosscall.com/,AIX EN PROVENCE,,"FUNDING, TALENTS",,https://vivatechnology.com/partners/crosscall,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/3d4a1df3-7e26-4df0-b167-1041368f78ed1,5G & Connectivity,B2B Services,"Industry, Logistics & Supply Chain"
Crowdaa,"Crowdaa democratizes the creation of mobile applications by providing an accessible and fast platform that eliminates the complexity of coding. Companies, nonprofit organizations and individuals that wants to address their community can launch their native mobile app on Android and iOS without writing a single line of code, and in no time! Thanks to our no code cloud-based tech, our users can bridge the gap with their audience in a branded and community-oriented environment. We have the support of industry-leading partners like AWS Start-up and Nvidia AI, who believed in our vision and contributed to our growth and success. Our client portfolio: BaseBall TV France (Baseball FF), CPME (union of employers from 2 regions: Réunion Island and a department of France located in the Grand Paris metropolis), CROEC (Association of Chartered Accountants of France from 3 French regions), etc",https://vivatechnology.com/partners/www.crowdaa.com,SAINT-PIERRE,,,,https://vivatechnology.com/partners/crowdaa,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/5891fc6e-b089-4329-9233-7c84327c6a341,Cloud & Infrastructure,Entertainment & Creators Economy,Sports
Crowdworks AI,"TRUSTWORTHY AI BUILT ON YOUR DATA- Founded in April 2017, Crowdworks AI is South Korea's leading AI technology provider, trusted by over 500 top AI enterprises, including Samsung, Hyundai, and Naver. The company is deeply involved in the early-stage development of large language models (LLMs), contributing to projects like Naver's HyperCLOVA X and LG's ExaOne. This involvement played a key role in its notable listing on the KOSDAQ market in August 2023. Operating in the data and LLM sectors, Crowdworks AI has earned recognition as a premier provider of generative AI technology, acclaimed by industry authorities such as Gartner and CB Insights.",https://vivatechnology.com/partners/www.crowdworks.ai,SEOUL,,,2 400 000€,https://vivatechnology.com/partners/crowdworks-ai,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/18480a6b-f583-4a23-8583-8058239e06c341,Artificial Intelligence,B2B Services,DeepTech
CryoCollect SAS,"CryoCollect is an innovative company specialized in the field of gas treatment. Founded in 2017 by a group of researchers passionate about cutting-edge technologies, CryoCollect quickly established itself as a major player in its sector thanks to its unique expertise and innovative solutions. CryoCollect is a visionary company that stands out for its revolutionary system for capturing bioCO2 from off gas resulting from methanization, as well as its innovative process for liquefying biomethane. Founded on principles of advanced engineering and environmental sustainability, CryoCollect represents a major advancement in the field of clean energy production and reduction of greenhouse gas emissions. In summary, CryoCollect is at the forefront of innovation in the field of organic waste valorization and renewable energy production. CryoCollect significantly contributes to the transition to a low-carbon economy and the fight against climate change.",https://vivatechnology.com/partners/www.cryocollect.com,PARIS,,,,https://vivatechnology.com/partners/cryocollect-sas,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/91271015-a35a-4c59-8e01-1c156755fd251,Energy,Food & Agriculture,"Industry, Logistics & Supply Chain"
CryptoNext Security,"CryptoNext Security, based in Paris, founded in 2019 after more than 20 years of academic research. CryptoNext Security is a software vendor specializing in quantum computer-resistant cryptography (PQC: post-quantum cryptography). CryptoNext offers its leading C-QSR Quantum Safe Remediation software suite including its world reference library Quantum Safe Library (C-QSL) with the latest updates of US NIST standard and EU recommended PQC algorithms optimized implementation and extended security modules as well as a full set of upper-layer crypto-agile, full PQC hybridization-ready integration tools, application plugins, and management modules, for end-user enterprises and integrators, to help them in their migration and operations in the era of post-quantum cybersecurity.",https://www.cryptonext-security.com/,PARIS,,,,https://vivatechnology.com/partners/cryptonext-security,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/2bead044-53e7-4bf4-a905-a6cc48dbde881,5G & Connectivity,Cybersecurity,"Web3, Blockchain, Crypto & NFT"
Crédit Agricole,"The Crédit Agricole Group is the leading partner of the French economy and one of the largest banking groups in Europe. Drawing on 130 years of legacy, we demonstrate our strength by putting it to the service of usefulness and universality. Crédit Agricole also stands out for its dynamic, innovative corporate social responsibility policy, for the benefit of the economy. This policy is based on a pragmatic approach which permeates across the Group and engages each employee. Le Village by CA Founded by Credit Agricole in 2014, Le Village by CA is a network of 44 accelerators in France, Luxembourg and Italy. The spirit of le Village by CA is to create employment and high value economic activities in all regions. The 750 startups that are hosted and accelerated by le Village by CA are accessible for our 800 local partners and belong to many sectors (health, energy, agritech, …).",https://vivatechnology.com/partners/www.credit-agricole.com,,,,,https://vivatechnology.com/partners/credit-agricole,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/02ff3b7f-c46b-499d-a001-227c290dd5841,Artificial Intelligence,Diversity & Inclusion,"Fintech, Insurance & Legal"
CultTech Association,"CultTech Association is a European non-profit that believes technology is key to making culture central to human growth in a post-material world. Our mission is to build a platform for a global CultTech community and to create a new ecosystem by establishing a mutually profitable relationship between culture and technology. We support and run initiatives that explore the transformative power of technology in the cultural and creative industries in an attempt to steer change for the greater good. Our scope of work includes supporting creation, fostering knowledge and investing into startups. We partner with leading cultural institutions like Ars Electronica or Salzburg Festival to explore key questions like AI in Arts. Our ecosystem comprise New Renaissance Ventures, an early stage fund backing the next generation of cultural and creative leaders, and CultTech Accelerator that brings together expertise and networks from across the startup, tech, culture and art scenes.",https://culttech.at/,,,,,https://vivatechnology.com/partners/culttech-association,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/91cb28dd-5dd0-4b74-a6a9-699fd7f8b3131,Artificial Intelligence,Entertainment & Creators Economy,"Web3, Blockchain, Crypto & NFT"
Culture pieces,"IP content comprehensive operation service company, Business scope includes cultural IP operation and video account operation The five major fields of visual design, cultural and creative product customization, and exhibition activities, Proficient in industry analysis, content planning, creative exploration, work creation, brand promotion, and product design Production and operation service capabilities. The team has professional planning, design, and development capabilities, and integrates supply chain resources Ability, rich brand marketing experience and media promotion ability, as well as comprehensive sales channels covering both online and offline.",https://vivatechnology.com/partners/Culture%20pieces,BEIJING,GOING TO MARKET,"FUNDING, TALENTS",,https://vivatechnology.com/partners/culture-pieces,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/ffc9ff06-f8ec-456d-a041-0678af2ca3151,Artificial Intelligence,Entertainment & Creators Economy,XR & Metaverse
Culturius,"Culturius wants you to enjoy the culture in the best possible way and that's why wea re developing a serie of useful features, as: a portal to consult, distribute and promote cultural offers, an online magazine dedicated to culture with editorial and audiovisual content. it's the biggest cultural marketplace in Europe, with a catalogue of 400 000 cultural events.",https://culturius.com/?country=be,BRUSSELS,,,450 000€,https://vivatechnology.com/partners/culturius,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/086460d1-865b-4cf5-ace5-b7d711d0a2221,Entertainment & Creators Economy,,
Cuoncrop,"cuoncrop is a Tokyo-based agri-tech company specializing in innovative solutions for the food and agricultural sector. Our company has been recognized for: ・JA Accelerator Program Award ・Best Startup for a Sustainable Society at the CCI France Japon Business Leaders Forum 2022 Tech4Good Event ・Toyohashi Agri-tech Contest At cuoncrop, we operate ""My Eco Monosashi,"" a service for corporate clients that efficiently measures and quantifies products along the food and agriculture value chain. This system enables measurement using indicators related to decarbonization, biodiversity preservation, nutritional enhancement, and more. For consumers, we offer the ""My Eco Monosashi"" app, empowering users to make sustainable choices in their daily meals and contribute to environmental causes.",https://cuoncrop.com/,TOKYO,GOING TO MARKET,,,https://vivatechnology.com/partners/cuoncrop,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/02cca195-caa9-497c-a03c-8bc72370fb1d1,Climate Tech,Energy,Food & Agriculture
CureCurve Medical AI,"CureCurve is a deep tech startup focused on revolutionising the medical landscape through the development of therapy applications and AI. Our unique approach is to utilise the data generated by our applications to train our AI models. Our backbone is rooted in research, not just development, which allows us to continuously improve the effectiveness and personalisation of our therapeutic solutions. Our ultimate goal is to revolutionise the way healthcare is delivered by combining cutting-edge technology with evidence-based research.",https://curecurve.de/elina-app,MANNHEIM,,,250.000€,https://vivatechnology.com/partners/curecurve-medical-ai,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/a68e8792-2197-4880-8217-8abde35149da1,Artificial Intelligence,Growth & Investment,Healthcare & Wellness
CustomsBridge,"CustomsBridge, a SaaS startup at the forefront of international trade, revolutionizes the handling of customs formalities by transforming the complexities and challenges of customs into opportunities for differentiation and growth. By focusing on the critical intersection of regulations and global trade processes, we enable smoother and more compliant international transactions. Our platform is specifically designed to empower freight forwarders, as well as importers and exporters, facilitating a seamless flow of goods across borders. By simplifying compliance and turning customs hurdles into strategic advantages, CustomsBridge champions more efficient, conforming, and opportunity-rich international trade.",https://vivatechnology.com/partners/customsbridge.ai,LILLE,,,1 000 000€,https://vivatechnology.com/partners/customsbridge,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/55d12c15-6c50-4bac-bec6-2d6510c629e41,Artificial Intelligence,Climate Tech,"Industry, Logistics & Supply Chain"
Cybertron Tech GmbH （九天睿芯科技）,"Cybertron Tech GmbH, founded in 2018 in Zurich, is committed to creating large computing power AI NPU chip with high energy and area efficiency, together with advanced high-speed interconnection IC technology. It is a global leader in the field of CIM (Compute-in-memory) architecture based AI NPU chip and has received hundreds of millions in investment and funding from EU and Chinese government. Our team has nearly 60 employees, including 7 young scientists and more than 70% of the IC R&D team . Their average work experience about 10~25 years in the filed of high-performance IC designs, advanced computing architecture and deep learning algorithm.",https://cybertron-ai.com/,SHENZHEN,STABLE BUSINESS,"FUNDING, TALENTS",,https://vivatechnology.com/partners/cybertron-tech-gmbh,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/eac6e38e-c922-4a58-a7bd-aafb4739beb51,Artificial Intelligence,Cloud & Infrastructure,DeepTech
