nom,Siren
HUMAN CODERS,539998856
HUMAN PREDICTIVE INTELLIGENCE,483199576
HUMANPERF SOFTWARE,454070715
HUMANROADS,817446800
HUMANS MATTER,451130744
HUMIND SCHOOL,838797256
HUNTOOL,832190516
HURENCE SAS,532001146
HXPERIENCE,808623854
HYDRAO,814127148
HYMAG'IN,847540416
HYMAGO ENERGIE,851673566
HYMAG’IN,847540416
HYPERPANEL LAB,337773691
HYPERVISION TECHNOLOGY,794874982
HYPNO VR,823512561
HYSEAS ENERGY,814697215
HÉPHAÏSTOS,928160878
I CLEAN MY SEA,849238233
IBAT SOLUTION,977980820
IC GREEN,909927154
ICARE TECHNOLOGIES,819695396
ICEBOARD,
ICTYOS,841695232
IC’ALPS,837902444
ID CITY,811548759
ID PARTNER,488866971
ID3 TECHNOLOGIES,377846951
IDEAL FACTORY,881117089
IDEC HAUTES TECHNOLOGIES,450229794
IDEEL GARDEN,853492817
IDELINK,
IDYLLIC TECHNOLOGY,835003971
IFOLLOW,828153924
IGNIMOTION,530017276
IIN MEDICAL,534015029
IL ETAIT PLUSIEURS FOIS,824274112
ILLUMO ROBOTICS,892634692
ILYA OLD,528513070
IMAGIN VR,840529630
IMEON ENERGY,792345647
IMMERSIVE EXPERIENCE,841463300
IMMERSIVE FACTORY,821839040
IMMUNRISE BIOCONTROL FRANCE,824165377
IMPACT PLUS,887674901
IMPACT+,887674901
IMPACTVEST LTD,
IMPAK FINANCE FRANCE,842329906
IMPALA HUB FRANCE,951406974
IMPETO MEDICAL,907929103
IMPEX FOOD,753322916
IMPULSION38,393524632
IN THE MEMORY,843728429
IN&MOTION,805388329
IN'AIR SOLUTIONS,794458075
INCEPTIVE & OCI,833016504
INCEPTO MEDICAL,834926131
INDDIGO,402250427
INDEPENDENT LIVING BASE,877692798
INEAT GROUP,491430112
INEON BIOTECH,833734825
INESO EUROPE,803803642
INETUM SOFTWARE FRANCE,340546993
INFICON SARL,432644482
INFINITRI,833361926
INFLOWS AI,
INGENIUS LAB,841337389
INNATE PHARMA,424365336
INNOV'ATM,800747446
INNOV'ORGA,507749000
INNOVA ADVANCED TECHNOLOGIES,891441453
INNOVA FINANCE,809974801
INNOVATION MAKERS ALLIANCE,813938552
INNOVSANTE,
INPI,180080012
INSA LYON – INSTITUT NATIONAL DES SCIENCES APPLIQUÉES,
INSTAR ROBOTICS,839277175
INSTAVOX,
INSTITUT LYFE,
INTENT TECHNOLOGIES,532829561
INTERLUDE SANTÉ,513413955
INTERNATIONAL BOOST,522896273
INTERNET OF TRUST,799995998
INTERVIEWAPP,521975409
INTRANET INSIDE,433115904
INTUIFACE,442492583
INTUITION ROBOTIQUE & TECHNOLOGIES,952439289
INTUITIVE ROBOTS,800876237
INUSE,809999188
INVEST IN LYON – ADERLY,
INVIBES ADVERTISING,537450140
INVIRTUS TECHNOLOGIES,835306259
INVIVOX,813123486
INWEBO,503562381
INZPOK,881981591
IOD SOLUTIONS,889535134
IOGS – INSTITUT D’OPTIQUE GRADUATE SCHOOL,784616989
IOLOGO SOLUTIONS,889535134
IOMT AURA,
IONENERGY,918509381
IOT BZH,812383370
IOTHINK SOLUTIONS,819582537
IPAIDTHAT,829997451
IPM FRANCE,
IRAM - INSTITUT DE RADIOASTRONOMIE MILLIMÉTRIQUE,316501238
IREIS – INSTITUT DE RECHERCHES EN INGÉNIERIE DES SURFACES,395294796
IROC TECHNOLOGIES,428924732
ISITEC INTERNATIONAL,442336079
IVÈS,491370995
IWD RETAIL SOFTWARE,429080526
IZBERG MARKETPLACE PLATFORM,750230393
IZIDORE - LA SECONDE VIE DES MEUBLES,
JADE - JARDIN & AGRICULTURE DEVELOPPEMENT,339653735
JAGUAR NETWORK,439099656
JAI - THE JOBS AI,
JARVIS LEGAL,791077555
JASTEC FRANCE,810994681
JAY ELECTRONIQUE,300032380
JELLYBOT BY DEVOLIS,
JENESUISPASUNCV,852695741
JESSICA FRANCE,382765410
JFM CONSEILS,435404660
JIB SMART HOME,837888403
JK GROUPE,751713454
JOB MINUTE,812963759
JOB STORY,883799603
JOBSET.IO,820557676
JOONE,824500797
JUBIWEE,819925355
JULIE DESK,852903624
JUNE AVOCATS,894697291
JUNGLE VR,831778071
JUNIDAN,
JURISCLOUD,804369676
JUST MINING,829840735
KAIZEN SOLUTIONS,799348255
KALIMA BLOCKCHAIN,911803880
KALIMA SYSTEMS,749951927
KAMP'N,533989257
KANTREE,812479806
KAPTAIN COWORKING,424761419
KEEPTRACE,820511962
KEESEEK,807956834
KEJAKO FRANCE,840766885
KELENN TECH,481787299
KELTEN AVOCATS,434705794
KEOPASS,440930105
KEOPLE,799073655
KEY INFUSER,811990928
KEYNEOSOFT,501236046
KICKLOX,810669754
KILASYSTEMS,
KILI TECHNOLOGY,843210014
KIPOYA,841069750
KISS KISS BANK BANK,512211004
KMTX,828539809
KNOCK KNOCK,893491639
KOBAN, CRM FRANÇAIS AUSSI BON SUR LA FACTURATION QUE SUR LE MARKETING,832922918
KOEO,513594770
KOKOROE,801335191
KOKUN FRANCE,883650327
KOMPASS SA,395162738
KOMPOZITE,344831136
KOVALEE,884077272
KPULSE,921187282
KREEZALID,830961942
KURANDA LABS,832452775
L'AGENCE PIGMENT,890563075
L'ATELIER,819731860
L'EFFET PAPILLON,830446548
L'INTENDANCE,
LA BELLE ASSIETTE,539146290
LA BICHE RENARD,819601196
LA BOUCHE ROUGE,825073091
LA CERISE SUR LE GATEAU,
LA COMMUNAUTÉ DES ENTREPRENEURS,897656823
LA FABRIQUE DU FUTUR & CO,840294706
LA FORGE,
LA FOURCHE,839765062
LA FRENCH FAB,382726479
LA GIRAFE,791690530
LA GRANGETTE,838589489
LA JAVANESS,812078319
LA NOTE BLEUE,
LA PAUSE BASKETS,834090607
LA PIRATERIE,
LA RUCHE,
LA RUCHE QUI DIT OUI!,528203755
LA TANNERIE VÉGÉTALE,887887636
LA TOUCHE MUSICALE,882298300
LA TRIBU,929906238
LA VIE EST BELT,843071614
LAB'STORIES,883141210
LABEL EMMAUS,821489002
LABORATOIRES INELDEA,421472143
LABS EXPLORER,837664739
LACLARÉE,820569218
LACROIX ELECTRONICS,409064151
LAMPI AI,978788347
LANGUAGES.AI,
LAYER®VAULT,
LBPI SAS,977684596
LD SONORE,534813480
LDI - INNOVATION FOR PROTECTION LOURD'INNOV,539806018
LDLC VR STUDIO,802162321
LE BON PRODUIT AU BON ENDROIT - BPBE,
LE CAB,833205081
LE CAMPUS NUMÉRIQUE IN THE ALPS,831866355
LE CHEMIN DES MÛRES,853831758
LE CLOSET,799684246
LE CLUB DES ENTREPRISES DE L’UNIVERSITE SAVOIE MONT BLANC,
LE CONTAINER,
LE COURT CIRCUIT,523010635
LE FRENCH POC,852866813
LE GRAMME,789713823
LE KABA,880849385
LE LAPTOP,538779828
LE PAVÉ,978809713
LE SONDIER,812250165
LE VILLAGE BY CA,
LE WAGON,794949917
LE WAGON FOR BUSINESS,898451257
LEARN & GO,824814982
LEFT ANGLE,878675198
LEGAL PILOT,830117735
LEGAL TOOLS,810704932
LEGALIFE,751555723
LEGALSTART,753892926
LEGRATIN,
LEMON LEARNING,804148211
LENA CLOUD,895163376
LEOSPHERE,452972649
LES 3 CHOUETTES,819733833
LES 3 COLONNES,
LES AFFRANCHIS(E),809710650
LES AGENCES DE PAPA,878379940
LES ALCHIMISTES,824298343
LES ALCHIMISTES OCCITERRA,839230166
LES COSMÉTIQUES FRAIS,824648836
LES DEEPTECH,878052786
LES DRECHEURS URBAINS,852428325
LES EAUX VIVES EMMAÜS,318964103
LES ENTREPRETEURS,805291317
LES FURETS,789198041
LES GRAPPES,840698757
LES JOYEUX RECYCLEURS,795087261
LES MARMITES VOLANTES,901093914
LES MINI MONDES,531372456
LES NOUVEAUX AFFINEURS,829430370
LES NOUVELLES FERMES,884979253
LES OIES DU CYBER,922089628
LES OPTICIENS MOBILES,803554245
LES PETITES CHOSES,878031590
LES PETITS BIDONS,838579043
LES PETITS CULOTTES,841445588
LES RAFFINEURS,
LES RIPEURS,831894134
LES TALENTS D ALPHONSE,830858064
LES TROIS TRICOTEURS,890898513
LET'S CO,842930760
LETTRIA,835074857
LEVIA.AI,894137561
LEVIATHAN DYNAMICS,824215537
LGO EXCHANGE SAS,842543159
LIAISON R&D,979471505
LIANELI,
LIFE 01,843922113
LIFE DESIGN SONORE,953934353
LIFE PLUS IO,814391744
LIFE!,
LIFY AIR,843871146
LIGHTING SEO,
LILIAL SAS,449492651
LIMA TECHNOLOGY,538742669
LIMITED RESELL,884513961
LIMONADE & CO,749842464
LINEUP 7,810386110
LINGUA CUSTODIA,534422662
LINKING THERAPISTS,893074997
LINKX ROBOTICS,905346011
LISTEN LÉON,842235533
LISTO PAYE,839617593
LISTO PAYE (EX-LISTO),839617593
LISY.CO,894759182
LITA.CO (EX 1001PACT),752360401
LITESENSE,
LITHIUM DE FRANCE,891015703
LITTLE BILL,840297436
LITTLE CIGOGNE,789948155
LITTLE JOHN,930449251
LITTLE SYSTER,883025074
LITTLE WORKER,820334951
LIVE ME UP,895234797
LIVE VENDOR,953227014
LIVEJOURNEY,
LIVEMENTOR,752946863
LIVENAT LABORATOIRE D'INNOVATION ET DE VALORISATION D'ELEMENTS NATURELS,799142401
LIVMED'S,881600456
LIXOFT,532514000
LM SPORT TOURISM,977970821
LNA PROTOTYPES,451588362
LNC THERAPEUTICS,528036817
LOAD STATIONS,920266608
LOANBASE,
LOC'HALL,891412454
LOCALLYTEAMS,802947077
LOFT ORBITAL,878678051
LOGMATIC.IO,
LOISIRS ENCHERES,801270612
LOISIRS ENCHÈRES,801270612
LOKLY,811736461
LOLA HEALTH,903952182
LOMA INNOVATION,817493273
LOOK UP SPACE,914706221
LOOKAROUN,892031063
LOOP DEE SCIENCE,829489012
LOOPSIDER,832111959
LOUERAGILE,840936744
LOUIE MEDIA,834333205
LOUISE LIFE,899142574
LOUVE INVEST,890510514
LOVE YOUR WASTE,808813893
LTUTECH,810994681
LUCKY CART ( RACHAT D'HISTORIQUES ),527865430
LUMI'IN,807940069
LUMOS APPS,884077272
LUNETTES AU LOGIS,813564747
LUXIA SCIENTIFIC,790719132
LYA PROTECT,841460645
LYBERO,818754574
LYLO MEDIA GROUP,797421682
LYMIA,789277019
LYMPE STUDIO,848177945
LYNX EDUCATE,900471053
LYRA NETWORK,434075719
LYS THERAPEUTICS,895069904
L’ENTREPRENDRE CERFRANCE,390672665
M TARGET,490990819
M&WINE,907605307
M2I LIFE SCIENCES,505355016
MA BONNE ÉTOILE,
MA COIFFEUSE AFRO,818340754
MA PETITE COUCHE,848381216
MAAT PHARMA,808370100
MABLINK BIOSCIENCE,845257930
MAC LUNCH,885327817
MADDY KEYNOTE,793843822
MADE NATURE,820439560
MADEINVOTE,821466877
MAG REESOURCE,890219520
MAGIA DIAGNOSTICS,831351796
MAGIC MAKERS,803084870
MAGIC SOFTWARE ENTERPRISES (FRANCE),394425045
MAGILEADS,848746632
MAGILLEM DESIGN SERVICES,492681671
MAGMA TECHNOLOGY,839898467
MAGPIE POLYMERS,530510528
MAGREESOURCE,890219520
MAHOU STUDIO,828627711
MAIA MEDICAL TECHNOLOGIES,953554508
MAILCLARK,808613000
MAIN GAUCHE,503851453
MAISON HÄDENN,888312394
MAISON J.U.S.,834204406
MAISON SASSY,797839578
MAJOR CORP,894689975
MAK POWER,840022958
MAKE ICI,830390506
MAKE IT MARSEILLE,810662593
MAKE THE LINK,804286896
MAKEMEREACH,517413969
MANAGERDETALENTS,809760051
MANGER NU,811924893
MANOMANO,752979930
MANUTECH USD,753487164
MAO BOA,853322733
MAPATHO,844693085
MAPPING CONTROL,490146958
MAPUI.FR,817698061
MAPWIZE,802884338
MARCHÉ-PRIVÉ,
MARGUERITE & CIE,902332444
MARGY PERFORMANCE,879790590
MARIA SCHOOLS,880477161
MARIE QUANTIER,537393985
MARKET INVADERS,804212678
MARKETING 1BY1,798606075
MASCARA RENEWABLE WATER,800480683
MASHUP WEB,812532018
MATHA (CODING DAYS),828400333
MATVISIO,811783885
MAVENOID,
MAY HEALTH,831705751
MAZEBERRY,
MA?O BOA,853322733
MD START II,810516682
MDK SOLUTIONS,501229355
MEAL CANTEEN,817809783
MECA MAGNETIC,410435556
MECAVIN,883542771
MEDAVIZ,807414024
MEDDAY PHARMACEUTICALS,534957865
MEDECINDIRECT,508346673
MEDEF & THE PROGRESS FACTORY,
MEDENE,
MEDGO,822276986
MEDIAMAP,849444492
MEDIAN TECHNOLOGIES,443676309
MEDIATECH SOLUTIONS,
MEDIAVEILLE,424176089
MEDICAL INTELLIGENCE SERVICE,795177146
MEDICALPS,443306444
MEDICAPPCONNECT,538517103
MEDOUCINE,820020808
MEDTECH SA,442896015
MEET IN CLASS,832978340
MEET JAMMY,
MEET MY MAMA,833911738
MEETPRO,819166513
MEILLEURSAGENTS,503068306
MEILLEURSAGENTS.COM,503068306
MELETIOS THERAPEUTICS,883003691
MELTYGROUP,485007843
MEMO BANK,829226760
MENSIA TECHNOLOGIES,789458163
MENTAL APPS,
MENTAÏA,983816646
MERCAUX,
MERCI HANDY,753222124
MERCI JULIE,824513527
MERCI MAX,804275667
MERCI RAYMOND,833748908
MERCIAPP,884606328
MES ALLOCS,676720212
MESHROOM VR,828700690
MESHROOMVR,828700690
MESSORTIESCE,827736216
METABOLIC EXPLORER,423703107
METALS INDUSTRY,
METEO PROTECT,537956815
METEO*SWIFT,815244025
MF BOUGIES,508133204
MGA TECHNOLOGIES,440170561
MH INDUSTRIES,531938660
MH PRO,852412899
MICE AND HUMANS PRÉMICES.CLIK,
MICRODB,398873778
MIDIPILE MOBILITY,889863494
MIEUXPLACER.COM,922703244
MIHOTEL,
MILLE47 CONSEIL & COACHING,929073823
MILLENDO THERAPEUTICS SAS,497575621
MILLIDROP INSTRUMENTS SAS,808749873
MILLION VICTORIES,830912051
MIMO DETECT,902267459
MINATEC ENTREPRISES,452107857
MINDMATCHER,789452208
MINDSAY,822349288
MINDSAY (EX-DESTYGO),822349288
MINERVE TECHNOLOGY,843778374
MINI GREEN POWER,802741751
MINITRUCKS ROBOTICS,981902273
MINITUBES SAS,421454059
MINMAXMEDICAL SAS,508333101
MINOS BIOSCIENCES,880794714
MINSIGHT,982855835
MINT BIKES,885021287
MINT ENERGIE,422716878
MINTEED LAB,913889945
MINUIT UNE,482035367
MINUIT UNE (,482035367
MINUT'PASS,811812098
MIP ROBOTICS,811323849
MIRATLAS SAS,839239498
MISSION FRENCH TECH,110020013
MISSION INNOTECH,750988263
MISSION RGPD,852903269
MISTER FLY,807712690
MISTER IA,977834928
MISTERFLY,807712690
MISTRAL AI,952418325
MITHRIL SECURITY,898703582
MITRUST,842232878
MIUM LAB,848431003
MK ICE,532325727
MLSTATE,499630408
MN SANTÉ (EX NOUVEAL E-SANTÉ),795280783
MNEMO THERAPEUTICS,844975755
MOB ENERGY,843868555
MOBEE TRAVEL,824986947
MOBEN & ROOSTER,821932795
MOBIBOT,
MOBILE.CLUB,839244266
MOBILEIT,487637886
MOBILITY WORK,820234599
MOBIUS RÉEMPLOI,832333710
MODJO COSMETICS,851921015
MOI J'DIS...,933125841
MOICHEF,808587844
MOJA RIDE,
MOJO BY NANOVARE,827964578
MOLAC LAURENT TUITO,838582229
MON CHASSEUR IMMO,750668790
MON COPILOTE,821160611
MON HANGAR,894387414
MON MAÎTRE CARRÉ,807710215
MON PETIT CE,884425687
MON PETIT PLACEMENT,831051453
MON SUPER VOISIN,820538007
MONBANQUET,831001334
MONEWAY,834585531
MONEY WALKIE,905399341
MONKEY FACTORY,802619866
MONKEY TIE,811881457
MONOMERIS CHEMICALS,
MONSIEUR BARBIER,797460235
MONSIEUR PEINTURE,822350294
MONSIEURGOURMAND.COM,900539073
MOOD EDITION,477931414
MOODWORK,812650992
MOON HARBOUR,800012304
MOON SURGICAL,851436188
MOONCARD,818620783
MOONSHOT INSURANCE,828572057
MOONSHOT INTERNET,828572057
MORALSCORE.ORG,
MORNING COWORKING,811806215
MORPHISEC,
MORPHO LABS,902498492
MOTA COWORKING,817916687
MOULINOT COMPOST & BIOGAZ,798298899
MOVE & RENT,838584837
MOVE YOUR BUDDY,818081424
MOVE'N SEE,531299246
MOVE'N'SEE,531299246
MOVER SAS,987524733
MOVEYOURBUDDY,818081424
MOVIN'SMART,833487432
MOÏZ,881439947
MR SURICATE,814768321
MRSURICATE,814768321
MULTIMECHANICS,
MULTIMÉDIA SOLUTIONS,422724997
MULTIWAVE IMAGING,822611992
MULTIWAVE INNOVATION SAS,822611992
MURENA SAS,840996516
MUSIC UNIT,452330517
MUSICWORLDMEDIA,513627299
MUST B2B METAVERSE,
MY BAND MARKET,804764595
MY BEEZ BOX,494138589
MY BRAZIL FACTORY,815082029
MY COACH SPORT,802661678
MY DIGITAL BUILDINGS,849917695
MY EASY TRANSFER,
MY EXPRESS DRIVER,889366985
MY FLYING BOX,538645227
MY GREEN CAR,934677964
MY JOB GLASSES,817465552
MY JOLIE CANDLE,798097598
MY LITTLE PRESSING,878768043
MY LOVELY PLANET,478881477
MY LUCKY DAY,479340275
MY MONEY TIME,802574228
MY MOOC,818642134
MY PHARMA COMPANY,751545807
MY RETAIL BOX,792793341
MY SAM,820997070
MY SPORT MARKET,
MY TRAFFIC,814849113
MY UNISOFT,840143275
MY WEEKEND FOR YOU,
MYAGO 3D,889089975
MYBROCANTE,821634763
MYBUS,397855792
MYCRONIC SAINT-EGRÈVE,451028567
MYEASYFARM,833246085
MYELEFANT,524353299
MYELINE SERVICES,832825715
MYFIT SOLUTIONS,837707769
MYGLADYS,
MYJUGAAD,839991619
MYLIGHT SYSTEMS,800773483
MYLOISIRS.COM - ARMANCE SAS,534390893
MYMERRYS,
MYMINUTETRIP,
MYPOCKET,752114645
MYPOSEO,521362822
MYR.AI,878893189
MYSENDINGBOX,829125988
MYSKILLCAMP,832505861
MYSOFIE,831001334
MYTELEWORKER,340422799
MYTRAFFIC,814849113
MYZEE TECHNOLOGY,810663849
MÉDIA PARTICIPATIONS,391214905
MÉDIACITÉS,823005319
MÉGO!,828153718
MÉTHANOR,539411090
MÉTROPOLE DE LYON,200046977
MÊME PAS CAP,843929951
MÖKKI,848379376
NAALI,902593352
NABL,911338465
NABOOK,
NADUVI,
NAIO TECHNOLOGIES,538138033
NAJAR ( EX - WELII ),
NAMAKI COSMETICS,794719286
NANNYBAG,817899305
NANO CORP,852597905
NANOMADE LAB,878882067
NAOX TECHNOLOGIES,841307069
NAP&UP,824004485
NAPOLEON CRYPTO,833353212
NAT EXPLORE,842888166
NATEO HEALTHCARE,821544285
NATHALIE BLANC PARIS,539924464
NATION DATA CENTER,891257701
NATIVE SPACES,508237112
NATIXIS PAYMENTS,345155337
NATURAL GRASS,513852640
NATURAÉ FRANCE,880024989
NAVAL ENERGIES,790256671
NAVILY,810544742
NAWA TECHNOLOGIES,792701518
NAWATECHNOLOGIES,792701518
NAWU DIAGNOSTICS,937831493
NAÏO TECHNOLOGIES,538138033
NBOLD,
NCODE.AI,835188525
NDMAC SYSTEMS,790614788
NEAMETA,
NED ENERGIE,792170342
NEEDELP,
NEMMÈS,
NEO BY NATURE,
NEO FORMA,791297120
NEOFARM,980676258
NEOFI SOLUTIONS,488351594
NEOJOBS,803847300
NEOLINE DÉVELOPPEMENT,813387933
NEOLYS DIAGNOSTICS,883521601
NEPTUNE ELEMENTS,894559426
NEST34,
NESTORE GREEN TECHNOLOGIES,817414899
NESTWAVE,805359825
NETWORKING PREMIUM GROUP,981625494
NEUROCHAIN TECH,983199811
NEUROSNOOPER,
NEW CARD,821766961
NEW IMAGING TECHNOLOGIES,494135841
NEW TALES,909289977
NEWZIK,525205514
NEXT NEUROTECH,918704024
NEXT STATION,842888265
NEXTBIOTIX,824343214
NEXTENEO,882828726
NEXTFLOW SOFTWARE,812220788
NEXTO SAS,480650712
NG BIOTECH,752130831
NH THERAGUIX,815260278
NIAGARA TECH SAS,891938383
NICÉPHORE CITÉ,912739075
NIIWAA,892195561
NIMBL'BOT,841715303
NIREA (FORMERLY BIGARREN BIZI),
NOBLE.AI,
NOCRM.IO,504497215
NOCTURNE GAMES,949301717
NODEA MEDICAL,535090252
NOMAD EDUCATION,533327128
NOMAD HOMES,889928214
NOMADEEC,443685573
NOMADEEC BY EXELUS,443685573
NOMADMUSIC,444144737
NOMADPLAY,801364308
NONNA LAB,850115189
NORMANDY BIOTECH,792482762
NOSSA!,808864631
NOSTRUM CARE,878918366
NOT SO DARK,821937380
NOTILO PLUS,818400145
NOUGA ASSURANCES,828323618
NOUVEAL E-SANTÉ,795280783
NOUVELLES TRIBUS,888657558
NOVA CARBON,979733920
NOVADE SOLUTIONS,834167744
NOVAKID,949407910
NOVAPOST,977715671
NOVO SENSO,852126150
NU!,
NUMA HEALTH,851781963
NUMERIAL GROUP,791575566
NUTRI&CO,825396492
NUTRI'BOX,
NUTRI'EARTH,830614376
NUTRIEARTH,830614376
NUVEE,
NUXT'S,828193722
NV GALLERY,818045585
NVH MEDICINAL,509118998
NW GROUPE,853652931
NÉMÈS PARIS,839885373
NÉOLITHE,847631207
NÉOSYLVA,843567215
NÜAG - L'ASSEMBLÉE NUMÉRIQUE,828559427
NÜRI,889760104
N?MI,
O'CLOCK,818614588
O2KEM,538730771
OB'DO,790838726
OBERON SCIENCES,895369932
OBI PARTNER,980639926
OBJOW,852715887
OBO WORLD,913219184
OBYPAY,819547324
OCEAN DATA LAB,792395923
OCEAN DIAGNOSTICS,849349642
OCEAN DX,849349642
OCEAN SKILLS,843059338
OCEAN SOLUTION ENERGY,837920586
OCEAN WINGS,843204603
OCTO GAMING,844094540
OCTOLY,491372090
OCTOPIZE,839370681
OCTOPUS LAB,830808424
OCULAI GMBH,
ODASEVA TECHNOLOGIES,751464264
ODC INDUSTRIES,804495661
ODESYO SAS,832573745
ODIHO SOUND ON DEMAND,833667371
ODIMMA THERAPEUTICS,830516076
ODO SMART SYSTEMS,534012083
ODYSSEE ENVIRONNEMENT,488697640
OFFICE SANTÉ,530460120
OFFICINE GÉNÉRALE,750191611
OGO SECURITY,837907336
OH BIBI,752458240
OH MY CREAM !,751427527
OHM ENERGIE,834673808
OKEENEA DIGITAL,848981809
OKULAR LOGISTICS,931463103
OLD SKULL GAMES,753486877
OLEA MEDICAL,505251355
OLEAN GROUP,853504181
OLIMPE TECHNOLOGIES (SAS WINDWEST),812669638
OLINO (EX-RISKEE),512242728
OLY BE,814287470
OLYNTEC,
OMA S A S,349869297
OMAHA INSIGHTS,
OMIE & CIE,881598940
OMINSENSE,879478402
OMNES CAPITAL,428711196
OMNI DESIGN,834931321
OMNILIVE,532150489
OMNY AI,914244181
ON THE WILD SIDE,842016123
ON TRAIN,843981473
ONA THERAPEUTICS,B67371484
ONAFIS,838011021
ONATERA,530267343
ONBOARD MANUALS,792016016
ONCE AGAIN,504483579
ONCRAWL,792261794
ONE BIOSCIENCES,884033531
ONE EXPERIENCE,824187579
ONE ORTHO,795284355
ONE WAVE,821237815
ONESTOCK / DEVATICS,529042376
ONETOMANY - DIGITAL RECRUITMENT,980972335
ONEWAVE,821237815
ONEXPENSE,793220914
ONLY DUST,813002904
ONOPIA,794702662
OOHEE.CO,
OOLUTION,533149712
"OP2 DRUGS SAS (""OP2""),810613240"
OPALE ENERGIES NATURELLES,840440218
OPEN AGENDA,809346158
OPEN AGORA,825109465
OPEN DIGITAL EDUCATION,528784325
OPEN LAKE TECHNOLOGY,840023592
OPEN LOWCODE,851461707
OPEN MIND INNOVATION,818971111
OPEN SESAME,910850908
OPEN SOURCE POLITICS,820412161
OPEN STENT SOLUTION,842621096
OPEN UP,337871636
OPENAIRLINES,493038707
OPENCELL SOFTWARE,810129411
OPENEAT,911546789
OPENHEALTH COMPANY,27350321
OPENOOX,808228720
OPERA ENERGIE,808096119
OPERA TECH,951927888
OPM FRANCE,397654104
OPN TV,890843642
OPTIMETRIKS (FIELDPRO),808898340
OPTIMIZ CONSTRUCTION,884985722
OPTIMIZ NETWORK,898451760
OPTIMUM AUTOMOTIVE,490146958
OPTING ENVIRONMENT,821467032
OPTO FRANCE,509041604
ORAKL ONCOLOGY,948448972
ORDIETIK,919575761
ORDIETIK BY TECH CARE INFORMATIQUE,919575761
ORGANILOG,804963957
ORIGAMI MARKETPLACE,809017429
ORIOMA SAS,888086535
ORPIA INNOVATION,841538077
ORRION CHEMICALS ORGAFORM,520955360
ORSON.IO,899405195
ORTHODIDACTE,514567296
ORUS ENERGY,979179975
OSCARO POWER,434474284
OSE IMMUNOTHERAPEUTICS,479457715
OSIUM AI,953988003
OSMIA OLD,821287273
OSMOS X,922472543
OSS VENTURES,842826646
OSTIUM GROUP,829381045
OTAREE,843939232
OTONOMY AVIATION,495232373
OTRERA NEW ENERGY,924880933
OUEST MEDIAS,443041678
OUIBOSS,829617612
OUIDO PRODUCTIONS,807729173
OURSBLANC,981816606
OUTREMER YACHTING,501597215
OVA DESIGN,504458902
OVALIE TECH,810668673
OVRSEA,832541189
OXANE VÉTÉRINAIRE,808584916
O°CODE,822879128
OÉ,815346309
OÙFORMER,910731785
PACK N DRIVE,813470473
PAGACHEY,880018015
PALADIN PROTOCOL,929033199
PANDASUITE,504817578
PANDAT FINANCE,513785741
PANDO2,802948083
PANGÉE,802644518
PAPIER TIGRE,534353347
PARADISO MEDIA,852029750
PARASWAP,888103678
PARCEL TINY HOUSE,882190986
PARENTALIS SAS,903150043
PARKEON,444719272
PARKINGMAP,531735587
PARKOVIEW,827938911
PARK’N PLUG,538605197
PARSYS TÉLÉMÉDECINE,524139037
PASS INTÉRIM,911155141
PATCHWORK GRANDE ARMEE,824820773
PATIENT 21,
PATROWL.IO,883168403
PCB PIEZOTRONICS,433175569
PCI MACHINING,562086454
PDC*LINE PHARMA,801408907
PE CUBE,882571268
PEAS & LOVE,835119470
PEAS AND LOVE,835119470
PEEK'IN,832852776
PELIKAN MOBILITY,920999042
PEOPLE IN,831276233
PER ANGUSTA,753447127
PERFECT MEMORY,507459113
PERFECTSTAY,818188385
PERFORMANCE VISION,839984671
PERSEFONI,
PERSPECTIVE(S),791156268
PESS ENERGY,893778431
PETTY WELL,839867090
PEUGEOT SA,552100554
PFEIFFER VACUUM SAS,85980357
PHANTOMBUSTER,818723629
PHARMALIZR,
PHARMEDIGROUP,882314974
PHD INOV,949869390
PHERECYDES PHARMA,493252266
PHI DESIGN,350468724
PHILEA SOLUTIONS,493175483
PHOCEA DC,952430049
PHONIX HEALTH,982080210
PHOSFOREA,825216328
PHOST'IN THERAPEUTICS,808490619
PHOTONIS INFRARED FRANCE,522753805
PIC MEDIA,913571386
PIC&PICK,835372392
PICOMTO,790112171
PICSELLIA,883142689
PICTO ACCESS,813987534
PIMSTER,
PINEAPPLI,538936394
PING CASTLE,841528441
PIXEE MEDICAL,832674816
PIXELME,842614521
PIXIERAY,401578299
PIXIUM VISION,538797655
PIXPAY,845129840
PLACE DES LEADS SAS,928888734
PLANET RIDE,810704478
PLANISENSE,814849873
PLANNING DE GARDE,821286879
PLANORAMA,511515280
PLANTES POUR TOUS,838114171
PLAST3C / ELYXOFT / XANTHIO / ATK,882795537
PLASTIC ODYSSEY,847625506
PLATEFORME FRANCE INDUSTRIE 4.0,838472777
PLATEFORME.IO,841609563
PLATYPUS CRAFT,511758096
PLEURETTE,822124368
PLUG IN DIGITAL,539019786
PLUME LABS,803473974
PLUME3,
PLYABLE,
PMB SOFTWARE,751207325
POCKET RESULT,792666562
POCKETCONFIDANT AI,820101657
POINT SECURE,882801681
POLAR ANALYTICS,
POLE STAR,440608891
POLLEN AM,797497526
POLLEN METROLOGY,804862043
POLLEN ROBOTICS,820266211
POLY TO POLY,842895559
POLYGON PHYSICS,799584453
POLYNOM,839645470
POLYSPOT,433342540
